,Season,Name,xK%,K%,Deviation,Deviation%
1165,2010,Michael Bourn,18.928,18.0,0.928,5.156
1166,2019,Albert Pujols,14.857,12.5,2.357,18.856
1167,2013,Leonys Martin,20.754,20.5,0.254,1.239
1168,2013,Nolan Arenado,14.193,14.0,0.193,1.379
1169,2019,Adam Jones,21.961,19.1,2.861,14.979
1170,2016,Adonis Garcia,16.76,16.5,0.26,1.576
1171,2014,Chris Davis,31.273,33.0,-1.727,-5.233
1172,2015,Brandon Moss,25.831,28.1,-2.269,-8.075
1173,2014,Erick Aybar,9.157,9.7,-0.543,-5.598
1174,2018,Trey Mancini,24.072,24.1,-0.028,-0.116
1175,2011,Drew Stubbs,26.586,30.1,-3.514,-11.674
1176,2012,Alberto Callaspo,8.96,11.3,-2.34,-20.708
1177,2019,Josh Reddick,11.479,12.0,-0.521,-4.342
1178,2015,Ryan Howard,25.323,27.4,-2.077,-7.58
1179,2016,Salvador Perez,18.786,21.8,-3.014,-13.826
1180,2014,Asdrubal Cabrera,17.276,17.5,-0.224,-1.28
1181,2010,Cliff Pennington,16.369,16.7,-0.331,-1.982
1182,2018,Marcus Semien,19.128,18.6,0.528,2.839
1183,2016,Mitch Moreland,22.915,23.5,-0.585,-2.489
1184,2014,Miguel Montero,17.653,17.3,0.353,2.04
1185,2019,Freddy Galvis,24.536,24.6,-0.064,-0.26
1186,2013,Gregor Blanco,16.489,18.6,-2.111,-11.349
1187,2018,Tucker Barnhart,16.252,18.4,-2.148,-11.674
1188,2011,Hideki Matsui,13.236,14.4,-1.164,-8.083
1189,2015,Cameron Maybin,18.795,18.4,0.395,2.147
1190,2013,Brandon Phillips,16.918,14.7,2.218,15.088
1191,2012,Carlos Lee,6.946,8.0,-1.054,-13.175
1192,2013,Asdrubal Cabrera,19.029,20.3,-1.271,-6.261
1193,2010,Denard Span,10.026,10.5,-0.474,-4.514
1194,2014,Nick Castellanos,24.534,24.2,0.334,1.38
1195,2014,Alcides Escobar,14.5,13.4,1.1,8.209
1196,2015,Melky Cabrera,12.679,12.9,-0.221,-1.713
1197,2019,Randal Grichuk,23.797,26.0,-2.203,-8.473
1198,2015,Chase Headley,20.407,21.0,-0.593,-2.824
1199,2019,Starlin Castro,15.654,16.4,-0.746,-4.549
1200,2011,Raul Ibanez,18.085,18.4,-0.315,-1.712
1201,2010,Miguel Tejada,8.435,9.8,-1.365,-13.929
1202,2010,Ian Desmond,18.365,19.0,-0.635,-3.342
1203,2014,Leonys Martin,20.064,19.6,0.464,2.367
1204,2019,Jose Iglesias,15.815,13.2,2.615,19.811
1205,2018,Brandon Crawford,23.17,20.5,2.67,13.024
1206,2014,Ryan Howard,27.84,29.3,-1.46,-4.983
1207,2010,Jorge Cantu,19.227,18.4,0.827,4.495
1208,2014,Brian McCann,13.22,14.3,-1.08,-7.552
1209,2011,Angel Pagan,8.909,11.7,-2.791,-23.855
1210,2011,Omar Infante,10.725,10.5,0.225,2.143
1211,2015,Brett Lawrie,23.018,23.9,-0.882,-3.69
1212,2017,Tommy Joseph,22.933,24.2,-1.267,-5.236
1213,2011,Austin Jackson,24.813,27.1,-2.287,-8.439
1214,2012,Mike Moustakas,20.098,20.2,-0.102,-0.505
1215,2012,Delmon Young,18.589,18.4,0.189,1.027
1216,2014,Dustin Ackley,15.509,16.6,-1.091,-6.572
