,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
125,2019,J.D. Martinez,BOS,146,657,0.21,0.318,0.562,0.757,0.868,0.402,0.616,0.123,0.255,0.936440678,2463,0.495,0.75,189,154,99
126,2010,Shin-Soo Choo,CLE,144,646,0.183,0.26,0.625,0.68,0.871,0.438,0.55,0.091,0.239,0.938997821,2537,0.444,0.79,195,151,85
127,2016,Nolan Arenado,COL,160,696,0.148,0.341,0.708,0.686,0.901,0.426,0.601,0.085,0.241,0.9,2743,0.488,0.823,184,244,94
128,2011,Justin Upton,ARI,159,674,0.187,0.293,0.529,0.703,0.862,0.438,0.583,0.118,0.261,1.076212471,2553,0.472,0.746,172,209,85
129,2018,Brandon Nimmo,NYM,140,535,0.262,0.197,0.575,0.636,0.827,0.445,0.63,0.095,0.294,0.767810026,2262,0.392,0.756,131,97,63
130,2017,Nelson Cruz,SEA,155,645,0.217,0.296,0.518,0.714,0.814,0.42,0.594,0.139,0.275,1.054862843,2474,0.472,0.706,171,177,75
131,2017,Daniel Murphy,WSN,144,593,0.13,0.312,0.775,0.671,0.935,0.444,0.541,0.058,0.218,1.052631579,2174,0.471,0.876,154,179,127
132,2011,Paul Konerko,CHW,149,639,0.139,0.274,0.675,0.626,0.907,0.45,0.568,0.073,0.245,1.081395349,2502,0.433,0.826,172,189,104
133,2019,Jeff McNeil,NYM,133,567,0.132,0.417,0.715,0.85,0.881,0.42,0.642,0.111,0.187,0.743944637,2067,0.599,0.814,186,149,95
134,2019,Pete Alonso,NYM,161,693,0.264,0.346,0.62,0.681,0.834,0.359,0.59,0.125,0.279,0.794285714,2762,0.466,0.732,169,173,75
135,2013,Josh Donaldson,OAK,158,668,0.165,0.266,0.706,0.668,0.842,0.438,0.585,0.09,0.255,1.002109705,2697,0.442,0.796,208,169,98
136,2013,Robinson Cano,NYY,160,681,0.125,0.339,0.77,0.716,0.933,0.406,0.606,0.064,0.206,0.984962406,2476,0.492,0.867,232,156,136
137,2015,Anthony Rizzo,CHC,160,701,0.15,0.327,0.715,0.679,0.92,0.387,0.548,0.077,0.23,0.84965035,2751,0.463,0.831,168,212,106
138,2018,Trevor Story,COL,157,656,0.256,0.322,0.603,0.746,0.872,0.427,0.604,0.114,0.246,0.76731794,2555,0.503,0.774,148,186,98
139,2014,Miguel Cabrera,DET,159,685,0.171,0.349,0.637,0.729,0.898,0.415,0.647,0.104,0.239,0.984405458,2531,0.507,0.793,202,178,125
140,2011,Albert Pujols,STL,147,651,0.089,0.31,0.781,0.629,0.922,0.43,0.528,0.058,0.223,1.34351145,2378,0.447,0.866,236,202,90
141,2012,Aramis Ramirez,MIL,149,630,0.13,0.357,0.674,0.73,0.89,0.44,0.625,0.1,0.231,1.090909091,2243,0.521,0.807,190,209,93
142,2016,J.D. Martinez,DET,120,517,0.248,0.332,0.524,0.771,0.845,0.44,0.615,0.14,0.247,0.765909091,2022,0.525,0.732,143,122,72
143,2011,Alex Avila,DET,141,551,0.238,0.243,0.547,0.665,0.859,0.439,0.564,0.101,0.269,0.897368421,2220,0.428,0.759,129,138,74
144,2016,Nelson Cruz,SEA,155,667,0.238,0.305,0.53,0.707,0.833,0.428,0.577,0.132,0.273,0.863636364,2732,0.478,0.722,194,164,79
145,2013,Joe Mauer,MIN,113,508,0.175,0.237,0.753,0.557,0.885,0.439,0.533,0.06,0.294,1.101538462,2158,0.377,0.839,168,91,99
146,2018,Anthony Rendon,WSN,136,597,0.137,0.289,0.785,0.701,0.922,0.456,0.621,0.059,0.235,0.848598131,2365,0.477,0.877,148,198,108
147,2013,Matt Holliday,STL,141,602,0.143,0.31,0.683,0.761,0.881,0.419,0.606,0.094,0.218,0.941935484,2236,0.499,0.809,200,147,91
148,2011,Alex Gordon,KCR,151,690,0.201,0.265,0.67,0.676,0.846,0.443,0.588,0.094,0.248,0.944111776,2765,0.447,0.788,187,182,104
149,2010,David Ortiz,BOS,145,606,0.239,0.257,0.605,0.702,0.84,0.409,0.495,0.104,0.249,0.741106719,2647,0.439,0.758,142,168,65
150,2016,Paul Goldschmidt,ARI,158,705,0.213,0.23,0.696,0.607,0.844,0.426,0.567,0.079,0.273,0.881048387,3012,0.39,0.794,203,126,108
151,2017,Marwin Gonzalez,HOU,134,515,0.192,0.292,0.688,0.598,0.89,0.424,0.567,0.08,0.275,0.946091644,2114,0.422,0.809,154,127,70
152,2010,Dan Uggla,FLA,159,674,0.221,0.22,0.543,0.66,0.818,0.435,0.552,0.108,0.285,1.085365854,2830,0.411,0.735,176,190,79
153,2011,Giancarlo Stanton,FLA,150,601,0.276,0.327,0.481,0.685,0.809,0.381,0.551,0.153,0.29,0.944297082,2377,0.463,0.666,161,137,58
154,2013,Matt Carpenter,STL,157,717,0.137,0.218,0.759,0.555,0.95,0.453,0.609,0.041,0.284,1.206349206,2954,0.371,0.888,206,181,145
155,2010,Prince Fielder,MIL,161,714,0.193,0.277,0.602,0.682,0.868,0.386,0.511,0.1,0.247,0.920668058,2775,0.434,0.764,187,175,79
156,2010,Adam Dunn,WSN,158,648,0.307,0.277,0.483,0.683,0.799,0.407,0.552,0.138,0.284,0.825,2663,0.443,0.681,120,178,65
157,2011,Adrian Beltre,TEX,124,525,0.101,0.362,0.724,0.683,0.93,0.454,0.587,0.076,0.234,1.130434783,1928,0.508,0.85,167,195,80
158,2019,Eugenio Suarez,CIN,159,662,0.285,0.266,0.513,0.686,0.846,0.423,0.618,0.12,0.292,0.795131846,2728,0.444,0.731,141,166,85
159,2019,Mookie Betts,BOS,150,706,0.143,0.214,0.719,0.615,0.937,0.423,0.551,0.051,0.257,1.097826087,2909,0.383,0.866,159,221,125
160,2015,Andrew McCutchen,PIT,157,685,0.194,0.237,0.606,0.708,0.826,0.432,0.555,0.105,0.246,0.903885481,2780,0.441,0.759,169,169,104
161,2019,Trevor Story,COL,145,656,0.265,0.315,0.601,0.72,0.848,0.408,0.579,0.119,0.26,0.752260398,2684,0.48,0.752,139,176,101
162,2014,Adrian Beltre,TEX,148,614,0.121,0.355,0.792,0.651,0.885,0.431,0.578,0.073,0.233,1.016949153,2331,0.483,0.846,203,171,106
163,2012,Josh Willingham,MIN,145,615,0.229,0.214,0.589,0.627,0.829,0.451,0.587,0.096,0.282,0.952853598,2588,0.401,0.758,146,165,73
164,2017,Cody Bellinger,LAD,132,548,0.266,0.274,0.564,0.674,0.769,0.423,0.553,0.135,0.283,0.934659091,2205,0.444,0.696,116,155,58
165,2015,David Peralta,ARI,149,517,0.207,0.318,0.602,0.683,0.884,0.43,0.627,0.106,0.262,1.034383954,1923,0.475,0.777,188,96,77
166,2017,Anthony Rizzo,CHC,157,691,0.13,0.304,0.71,0.668,0.906,0.437,0.562,0.077,0.233,0.848591549,2723,0.463,0.833,196,189,97
167,2011,Carlos Gonzalez,COL,127,542,0.194,0.345,0.589,0.676,0.886,0.41,0.554,0.114,0.25,1.050847458,1987,0.481,0.76,180,125,67
