,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
727,2015,Robinson Cano,SEA,156,674,0.159,0.324,0.691,0.732,0.904,0.433,0.591,0.087,0.234,1.061099796,2445,0.501,0.826,263,132,126
728,2011,Peter Bourjos,LAA,147,552,0.225,0.323,0.587,0.63,0.852,0.462,0.629,0.115,0.287,0.988636364,1999,0.465,0.753,163,127,58
729,2014,Torii Hunter,DET,142,586,0.152,0.354,0.633,0.737,0.874,0.465,0.637,0.112,0.251,1.234042553,2001,0.532,0.789,221,144,99
730,2017,Wil Myers,SDP,155,649,0.277,0.29,0.622,0.643,0.84,0.427,0.586,0.107,0.276,0.784,2669,0.441,0.758,147,168,77
731,2012,Pedro Alvarez,PIT,149,586,0.307,0.334,0.555,0.69,0.823,0.395,0.631,0.137,0.295,0.830548926,2281,0.474,0.709,163,120,65
732,2019,Manny Machado,SDP,156,661,0.194,0.314,0.625,0.698,0.876,0.396,0.616,0.105,0.257,1.126829268,2418,0.466,0.774,193,190,79
733,2012,Jose Reyes,MIA,160,716,0.078,0.301,0.8,0.626,0.935,0.424,0.599,0.051,0.239,1.466836735,2507,0.438,0.881,265,185,125
734,2011,Emilio Bonifacio,FLA,152,641,0.201,0.282,0.716,0.565,0.861,0.432,0.566,0.079,0.284,0.951162791,2582,0.404,0.804,217,94,98
735,2016,Cesar Hernandez,PHI,155,622,0.186,0.243,0.631,0.68,0.899,0.459,0.588,0.08,0.245,0.868644068,2427,0.443,0.82,225,85,100
736,2015,Joc Pederson,LAD,151,585,0.291,0.265,0.489,0.65,0.77,0.413,0.569,0.14,0.3,0.805699482,2464,0.424,0.667,130,132,49
737,2017,Didi Gregorius,NYY,136,570,0.123,0.408,0.691,0.813,0.88,0.429,0.618,0.114,0.202,0.9437751,2069,0.582,0.804,170,206,94
738,2015,Troy Tulowitzki,- - -,128,534,0.213,0.297,0.684,0.637,0.85,0.456,0.579,0.094,0.278,0.992084433,2111,0.452,0.791,154,139,83
739,2013,Brett Gardner,NYY,145,609,0.209,0.291,0.8,0.55,0.917,0.425,0.573,0.053,0.27,0.801204819,2577,0.401,0.868,165,141,93
740,2012,Mark Reynolds,BAL,135,538,0.296,0.246,0.521,0.669,0.762,0.44,0.58,0.135,0.298,0.786842105,2296,0.432,0.685,111,127,61
741,2018,Chris Taylor,LAD,155,604,0.295,0.258,0.534,0.723,0.785,0.463,0.626,0.137,0.29,0.757894737,2475,0.474,0.712,121,140,99
742,2015,Ian Kinsler,DET,154,675,0.119,0.28,0.772,0.696,0.945,0.463,0.604,0.052,0.225,1.048262548,2526,0.472,0.89,184,221,138
743,2017,Todd Frazier,- - -,147,576,0.217,0.25,0.671,0.602,0.822,0.433,0.557,0.093,0.275,0.848920863,2493,0.402,0.769,121,168,65
744,2015,Kyle Seager,SEA,161,686,0.143,0.294,0.695,0.642,0.908,0.464,0.585,0.075,0.251,1.193181818,2537,0.456,0.834,185,214,126
745,2012,Chris Johnson,- - -,136,528,0.25,0.364,0.592,0.666,0.875,0.445,0.6,0.119,0.274,0.816326531,2116,0.498,0.76,142,126,92
746,2019,Jose Ramirez,CLE,129,542,0.137,0.264,0.768,0.642,0.923,0.421,0.566,0.056,0.243,1.075520833,2173,0.423,0.867,136,192,85
747,2010,Angel Pagan,NYM,151,633,0.153,0.313,0.764,0.642,0.932,0.448,0.553,0.06,0.232,0.993603412,2340,0.46,0.869,170,205,91
748,2016,Adrian Gonzalez,LAD,156,633,0.185,0.322,0.667,0.733,0.871,0.402,0.561,0.101,0.231,0.97639485,2394,0.487,0.79,210,125,120
749,2013,Ben Zobrist,TBR,157,698,0.13,0.236,0.784,0.599,0.905,0.443,0.574,0.053,0.254,1.481586402,2550,0.397,0.865,224,196,103
750,2017,Robinson Cano,SEA,150,648,0.131,0.349,0.708,0.733,0.906,0.446,0.599,0.087,0.212,1.036585366,2315,0.52,0.832,255,156,99
751,2019,Avisail Garcia,TBR,125,530,0.236,0.4,0.544,0.819,0.806,0.391,0.623,0.173,0.266,0.983914209,1894,0.564,0.693,169,116,82
752,2015,Adam Jones,BAL,137,581,0.176,0.465,0.666,0.806,0.875,0.4,0.654,0.133,0.224,0.904081633,1996,0.601,0.778,203,161,79
753,2015,Gerardo Parra,- - -,155,589,0.156,0.394,0.713,0.731,0.911,0.442,0.664,0.092,0.226,0.912601626,2085,0.543,0.831,210,132,107
754,2013,Ian Kinsler,TEX,136,614,0.096,0.232,0.766,0.594,0.961,0.474,0.583,0.039,0.253,1.311170213,2384,0.404,0.902,182,194,117
755,2012,Neil Walker,PIT,129,530,0.196,0.336,0.714,0.635,0.905,0.397,0.553,0.082,0.26,0.946428571,2046,0.455,0.82,157,125,89
756,2017,Adam Jones,BAL,147,635,0.178,0.441,0.651,0.789,0.882,0.403,0.592,0.13,0.227,0.883211679,2285,0.581,0.777,217,166,101
757,2019,Kolten Wong,STL,148,549,0.151,0.314,0.707,0.696,0.921,0.418,0.57,0.077,0.239,0.916067146,2012,0.474,0.838,168,136,78
758,2017,Tim Beckham,- - -,137,575,0.29,0.338,0.531,0.707,0.804,0.449,0.623,0.15,0.3,0.794310722,2313,0.504,0.703,177,107,79
759,2012,Angel Pagan,SFG,154,659,0.147,0.291,0.791,0.616,0.937,0.431,0.566,0.051,0.246,1.165898618,2476,0.431,0.881,213,179,114
760,2017,Jean Segura,SEA,125,566,0.147,0.338,0.767,0.661,0.901,0.477,0.597,0.072,0.242,0.922431866,2186,0.492,0.853,239,116,85
761,2014,Aramis Ramirez,MIL,133,531,0.141,0.385,0.684,0.793,0.877,0.428,0.621,0.111,0.217,1.087628866,1805,0.56,0.801,163,164,95
762,2011,Dan Uggla,ATL,161,672,0.232,0.265,0.542,0.687,0.823,0.452,0.586,0.121,0.286,1.046838407,2612,0.456,0.734,184,194,69
763,2014,Adam Dunn,- - -,131,511,0.311,0.214,0.463,0.651,0.791,0.418,0.562,0.123,0.302,0.840490798,2196,0.397,0.688,91,118,65
764,2016,Matt Kemp,- - -,156,672,0.232,0.407,0.583,0.75,0.83,0.429,0.632,0.15,0.276,0.958,2434,0.554,0.726,191,190,98
765,2015,Odubel Herrera,PHI,147,537,0.24,0.348,0.614,0.678,0.867,0.426,0.629,0.116,0.28,0.800894855,2155,0.489,0.764,169,105,84
766,2018,Carlos Santana,PHI,161,679,0.137,0.241,0.742,0.655,0.87,0.414,0.58,0.072,0.241,0.98340249,2801,0.413,0.826,191,207,76
767,2013,Neil Walker,PIT,133,551,0.154,0.306,0.659,0.671,0.901,0.411,0.597,0.088,0.249,1.091922006,2042,0.456,0.806,151,151,90
768,2016,J.T. Realmuto,MIA,137,545,0.183,0.325,0.707,0.664,0.891,0.46,0.633,0.085,0.255,0.942791762,2142,0.481,0.824,203,125,84
769,2015,Albert Pujols,LAA,157,661,0.109,0.312,0.737,0.649,0.927,0.444,0.56,0.066,0.244,1.156182213,2514,0.462,0.856,223,225,85
770,2016,Brad Miller,TBR,152,601,0.248,0.324,0.652,0.716,0.818,0.427,0.609,0.12,0.272,0.865800866,2324,0.491,0.755,179,147,74
771,2014,Ben Zobrist,TBR,146,654,0.128,0.235,0.778,0.584,0.917,0.422,0.572,0.05,0.271,1.340659341,2563,0.383,0.868,238,160,90
772,2018,Brian Anderson,MIA,156,670,0.193,0.281,0.65,0.686,0.849,0.446,0.582,0.101,0.26,0.942973523,2641,0.462,0.782,240,132,91
773,2011,Melvin Upton Jr.,TBR,153,640,0.252,0.267,0.6,0.707,0.84,0.45,0.628,0.109,0.259,0.832985386,2472,0.465,0.764,163,163,73
774,2011,Nick Markakis,BAL,160,716,0.105,0.254,0.827,0.618,0.923,0.449,0.553,0.045,0.254,1.225321888,2784,0.418,0.891,243,196,132
775,2012,Alejandro De Aza,CHW,131,585,0.186,0.274,0.614,0.62,0.922,0.442,0.597,0.08,0.262,1,2320,0.427,0.812,168,129,105
776,2016,Adam Duvall,CIN,150,608,0.27,0.341,0.571,0.697,0.859,0.44,0.638,0.125,0.288,0.914549654,2225,0.498,0.748,134,185,77
777,2019,Daniel Vogelbach,SEA,144,558,0.267,0.22,0.644,0.522,0.811,0.4,0.52,0.086,0.318,0.957446809,2532,0.341,0.746,104,141,70
778,2015,Dexter Fowler,CHC,156,690,0.223,0.209,0.637,0.678,0.868,0.433,0.59,0.082,0.25,0.892276423,2819,0.412,0.802,190,160,89
779,2010,Lyle Overbay,TOR,154,608,0.215,0.243,0.557,0.663,0.87,0.424,0.567,0.098,0.262,1.134078212,2370,0.421,0.766,183,158,65
780,2013,Austin Jackson,DET,129,614,0.21,0.259,0.611,0.629,0.893,0.484,0.603,0.085,0.285,1.007125891,2390,0.438,0.807,177,130,117
781,2017,Whit Merrifield,KCR,145,630,0.14,0.343,0.709,0.688,0.918,0.471,0.617,0.079,0.244,0.978431373,2370,0.505,0.843,188,202,109
782,2012,Asdrubal Cabrera,CLE,143,616,0.161,0.292,0.704,0.704,0.911,0.449,0.609,0.075,0.222,0.982646421,2279,0.477,0.841,186,161,106
783,2012,Ryan Doumit,MIN,134,528,0.186,0.346,0.639,0.656,0.876,0.44,0.561,0.105,0.264,1.085635359,2006,0.482,0.781,164,141,88
784,2017,Andrew Benintendi,BOS,151,658,0.17,0.29,0.712,0.645,0.894,0.422,0.547,0.077,0.254,1.028697572,2533,0.44,0.825,187,179,100
785,2017,Josh Harrison,PIT,128,542,0.166,0.356,0.726,0.733,0.843,0.454,0.62,0.105,0.241,0.846652268,2029,0.527,0.8,143,160,89
786,2017,J.T. Realmuto,MIA,141,579,0.183,0.324,0.691,0.654,0.893,0.48,0.615,0.086,0.262,0.995359629,2171,0.482,0.822,205,147,77
787,2012,David DeJesus,CHC,148,582,0.153,0.251,0.746,0.607,0.931,0.421,0.615,0.054,0.265,1.032178218,2370,0.401,0.864,171,148,98
788,2010,Jeff Keppinger,HOU,137,575,0.063,0.202,0.828,0.571,0.967,0.485,0.579,0.027,0.257,1.589403974,2208,0.381,0.929,244,142,94
789,2015,Brandon Crawford,SFG,143,561,0.212,0.346,0.562,0.761,0.842,0.428,0.624,0.136,0.263,0.864142539,2169,0.524,0.736,185,130,73
790,2019,Joey Votto,CIN,142,608,0.202,0.21,0.693,0.681,0.877,0.434,0.59,0.073,0.25,0.928899083,2458,0.415,0.824,150,153,102
791,2018,Asdrubal Cabrera,- - -,147,592,0.201,0.323,0.698,0.718,0.859,0.422,0.606,0.099,0.252,0.948660714,2232,0.49,0.798,179,165,81
792,2013,Adam Dunn,CHW,149,607,0.311,0.238,0.524,0.644,0.788,0.415,0.568,0.122,0.297,0.8475,2606,0.406,0.698,130,143,66
793,2013,Justin Smoak,SEA,131,521,0.228,0.287,0.637,0.676,0.873,0.405,0.56,0.097,0.254,0.850632911,2101,0.445,0.782,117,153,66
794,2019,Christian Vazquez,BOS,138,521,0.194,0.352,0.708,0.69,0.884,0.435,0.641,0.093,0.257,0.876146789,2013,0.499,0.814,150,144,88
795,2014,Brett Gardner,NYY,148,636,0.211,0.218,0.739,0.562,0.928,0.432,0.571,0.05,0.29,0.89787234,2821,0.366,0.864,176,155,91
796,2012,Matt Wieters,BAL,144,593,0.189,0.322,0.689,0.675,0.871,0.403,0.572,0.094,0.25,0.972027972,2290,0.464,0.796,184,148,85
797,2015,Matt Duffy,SFG,149,612,0.157,0.307,0.691,0.641,0.919,0.456,0.644,0.075,0.256,1.221938776,2271,0.459,0.836,252,127,100
798,2019,Asdrubal Cabrera,- - -,131,514,0.2,0.288,0.705,0.671,0.873,0.431,0.58,0.085,0.254,0.832935561,2089,0.453,0.812,134,132,83
799,2018,Trea Turner,WSN,162,740,0.178,0.266,0.677,0.65,0.884,0.441,0.624,0.081,0.267,1.003861004,2927,0.436,0.813,255,172,93
800,2011,Derek Jeter,NYY,131,607,0.133,0.281,0.73,0.686,0.911,0.457,0.585,0.069,0.22,0.997844828,2337,0.466,0.851,289,86,88
801,2013,Pablo Sandoval,SFG,141,584,0.135,0.443,0.808,0.785,0.867,0.331,0.608,0.091,0.185,0.812612613,2164,0.556,0.836,187,168,96
802,2010,Jonny Gomes,CIN,148,571,0.215,0.362,0.58,0.707,0.855,0.415,0.606,0.13,0.28,1.112044818,2017,0.505,0.74,115,200,82
803,2014,Trevor Plouffe,MIN,136,582,0.187,0.254,0.645,0.637,0.881,0.44,0.605,0.083,0.274,1.159217877,2288,0.422,0.801,158,168,89
804,2016,Gregory Polanco,PIT,144,587,0.203,0.31,0.668,0.701,0.915,0.388,0.535,0.085,0.24,0.840816327,2401,0.462,0.813,160,153,99
805,2010,Shane Victorino,PHI,147,648,0.122,0.291,0.739,0.578,0.93,0.473,0.579,0.058,0.278,1.364864865,2380,0.427,0.861,227,190,88
806,2013,Nate Schierholtz,CHC,137,503,0.187,0.346,0.683,0.741,0.878,0.395,0.573,0.101,0.245,0.883054893,1971,0.502,0.797,147,148,75
807,2012,Ike Davis,NYM,156,584,0.241,0.289,0.603,0.68,0.838,0.4,0.628,0.113,0.28,0.938271605,2364,0.445,0.746,148,152,80
808,2016,Albert Pujols,LAA,152,650,0.115,0.321,0.752,0.639,0.923,0.442,0.558,0.066,0.243,1.110169492,2516,0.462,0.857,230,207,87
809,2015,Carlos Santana,CLE,154,666,0.183,0.211,0.698,0.579,0.895,0.424,0.482,0.062,0.25,0.977324263,2863,0.367,0.83,192,160,79
810,2010,Ichiro Suzuki,SEA,162,732,0.117,0.349,0.809,0.675,0.942,0.446,0.59,0.053,0.217,0.941935484,2738,0.494,0.89,335,148,101
811,2019,Yasiel Puig,- - -,149,611,0.218,0.342,0.593,0.778,0.832,0.421,0.606,0.136,0.248,0.940265487,2247,0.526,0.742,162,173,90
812,2014,Lorenzo Cain,KCR,133,502,0.215,0.346,0.591,0.667,0.888,0.458,0.667,0.11,0.28,1.055072464,1853,0.493,0.776,186,95,83
813,2014,Khris Davis,MIL,144,549,0.222,0.3,0.525,0.744,0.817,0.454,0.572,0.14,0.275,1.04359673,2069,0.502,0.722,149,152,82
814,2012,Jordan Pacheco,COL,132,505,0.121,0.318,0.777,0.647,0.921,0.487,0.624,0.061,0.246,1.367213115,1733,0.478,0.872,177,130,110
815,2013,Alex Rios,- - -,156,662,0.163,0.28,0.695,0.6,0.927,0.476,0.577,0.065,0.27,1.259259259,2497,0.432,0.848,223,178,109
816,2018,Denard Span,- - -,137,501,0.158,0.239,0.741,0.654,0.926,0.457,0.627,0.056,0.245,0.991712707,1935,0.428,0.87,144,120,95
817,2018,Ketel Marte,ARI,153,580,0.136,0.281,0.775,0.684,0.904,0.432,0.584,0.064,0.229,1.075609756,2177,0.455,0.859,226,128,87
818,2013,Desmond Jennings,TBR,139,602,0.191,0.229,0.652,0.615,0.84,0.468,0.576,0.089,0.287,1.102425876,2428,0.41,0.784,192,147,70
819,2017,Curtis Granderson,- - -,147,527,0.233,0.216,0.653,0.574,0.902,0.462,0.575,0.066,0.28,0.773584906,2382,0.382,0.826,107,160,61
820,2019,Kole Calhoun,LAA,152,632,0.256,0.29,0.485,0.752,0.809,0.414,0.593,0.147,0.278,0.953545232,2389,0.481,0.695,159,144,87
821,2012,Justin Morneau,MIN,134,570,0.179,0.379,0.675,0.758,0.869,0.424,0.604,0.111,0.231,0.84114053,2119,0.54,0.79,171,152,90
822,2014,Conor Gillaspie,CHW,130,506,0.154,0.33,0.727,0.703,0.92,0.436,0.573,0.075,0.219,1.01305483,1846,0.493,0.847,153,151,84
823,2010,Michael Cuddyer,MIN,157,675,0.138,0.333,0.699,0.636,0.919,0.452,0.57,0.078,0.245,1.135371179,2498,0.47,0.833,259,171,90
824,2016,Marcell Ozuna,MIA,148,608,0.189,0.329,0.588,0.665,0.863,0.422,0.632,0.116,0.28,1.304093567,2225,0.471,0.752,196,163,87
825,2013,Pedro Alvarez,PIT,152,614,0.303,0.347,0.487,0.726,0.789,0.391,0.578,0.166,0.301,0.910411622,2415,0.495,0.66,162,137,77
826,2017,Scott Schebler,CIN,141,531,0.235,0.35,0.585,0.764,0.82,0.42,0.582,0.142,0.252,0.951219512,1886,0.524,0.729,160,134,57
827,2014,Marlon Byrd,PHI,154,637,0.29,0.422,0.557,0.768,0.816,0.433,0.639,0.165,0.279,0.729055258,2394,0.572,0.708,151,165,93
828,2019,Ryan McMahon,COL,141,539,0.297,0.292,0.545,0.767,0.783,0.428,0.627,0.147,0.267,0.6875,2249,0.495,0.703,162,89,68
829,2019,Andrew Benintendi,BOS,138,615,0.228,0.329,0.689,0.786,0.826,0.399,0.618,0.116,0.233,0.72450805,2435,0.512,0.773,155,165,85
830,2013,Chase Headley,SDP,141,600,0.237,0.277,0.584,0.74,0.835,0.392,0.577,0.117,0.26,0.88372093,2374,0.459,0.743,175,119,86
831,2011,Chris Young,ARI,156,659,0.211,0.259,0.579,0.614,0.858,0.465,0.561,0.099,0.285,1.014117647,2627,0.425,0.767,136,210,85
832,2010,Mark Reynolds,ARI,145,596,0.354,0.252,0.457,0.731,0.695,0.429,0.621,0.172,0.309,0.673563218,2571,0.457,0.62,93,161,39
833,2014,Jason Heyward,ATL,149,649,0.151,0.273,0.702,0.639,0.889,0.433,0.539,0.077,0.252,1.114485981,2548,0.432,0.822,217,170,90
834,2016,Justin Upton,DET,153,626,0.286,0.257,0.569,0.659,0.785,0.458,0.556,0.124,0.296,0.911832947,2606,0.441,0.717,152,169,72
835,2010,Starlin Castro,CHC,125,506,0.14,0.314,0.748,0.649,0.918,0.467,0.628,0.066,0.246,1.132183908,1839,0.471,0.857,202,115,77
836,2019,Vladimir Guerrero Jr.,TOR,123,514,0.177,0.316,0.637,0.719,0.872,0.378,0.642,0.106,0.255,1.093294461,1986,0.468,0.773,186,124,65
837,2017,Chase Headley,NYY,147,586,0.225,0.258,0.585,0.679,0.846,0.439,0.594,0.106,0.28,0.945544554,2331,0.443,0.761,166,121,95
838,2013,Jean Segura,MIL,146,623,0.135,0.338,0.774,0.636,0.914,0.434,0.608,0.067,0.26,1.193236715,2266,0.468,0.856,290,115,89
839,2012,Marco Scutaro,- - -,156,683,0.072,0.238,0.891,0.57,0.98,0.499,0.559,0.019,0.243,1.353629977,2611,0.404,0.953,239,190,149
840,2010,Austin Jackson,DET,151,675,0.252,0.278,0.653,0.658,0.856,0.487,0.599,0.095,0.276,0.802177858,2704,0.463,0.793,214,121,107
841,2019,Scott Kingery,PHI,126,500,0.294,0.337,0.539,0.733,0.8,0.422,0.636,0.152,0.295,0.819371728,1973,0.504,0.699,106,125,82
842,2010,Ryan Ludwick,- - -,136,553,0.219,0.267,0.595,0.705,0.832,0.473,0.584,0.112,0.266,0.909975669,2173,0.474,0.762,120,169,85
843,2013,Salvador Perez,KCR,138,526,0.12,0.364,0.801,0.64,0.923,0.46,0.618,0.062,0.239,1.360248447,1771,0.491,0.874,204,144,90
844,2016,Andrew McCutchen,PIT,153,675,0.212,0.254,0.598,0.714,0.838,0.461,0.584,0.107,0.259,0.875717017,2740,0.466,0.768,164,191,103
845,2018,Mike Moustakas,- - -,152,635,0.162,0.37,0.677,0.736,0.884,0.413,0.591,0.105,0.229,0.914893617,2380,0.521,0.798,161,219,93
846,2017,Odubel Herrera,PHI,138,563,0.224,0.4,0.635,0.707,0.841,0.425,0.634,0.132,0.268,0.833333333,2180,0.53,0.752,174,137,84
847,2019,Eddie Rosario,MIN,137,590,0.146,0.463,0.753,0.804,0.851,0.376,0.595,0.117,0.207,0.962,2068,0.591,0.803,180,203,98
848,2014,Ian Desmond,WSN,154,648,0.282,0.339,0.537,0.686,0.834,0.445,0.631,0.138,0.296,0.870762712,2480,0.494,0.721,206,132,73
849,2010,Matt Kemp,LAD,162,668,0.254,0.3,0.583,0.652,0.791,0.453,0.584,0.129,0.304,1.023255814,2645,0.459,0.717,179,173,88
850,2017,Joe Panik,SFG,138,573,0.094,0.245,0.782,0.649,0.95,0.466,0.578,0.044,0.23,1.18814433,2182,0.433,0.899,203,157,101
851,2013,Martin Prado,ARI,155,664,0.08,0.275,0.839,0.522,0.96,0.474,0.596,0.033,0.28,1.742236025,2459,0.392,0.916,268,170,123
852,2010,Melvin Upton Jr.,TBR,154,610,0.269,0.245,0.552,0.682,0.805,0.481,0.638,0.121,0.279,0.885985748,2369,0.456,0.735,148,163,62
853,2012,Hanley Ramirez,- - -,157,667,0.198,0.298,0.686,0.662,0.889,0.448,0.619,0.084,0.261,0.877777778,2691,0.461,0.817,224,163,87
854,2012,Kevin Youkilis,- - -,122,509,0.212,0.202,0.609,0.553,0.898,0.479,0.546,0.068,0.295,0.988130564,2220,0.37,0.816,143,121,69
855,2011,Alberto Callaspo,LAA,141,536,0.09,0.248,0.86,0.631,0.931,0.438,0.524,0.038,0.227,1.20505618,2080,0.416,0.907,176,157,96
856,2011,James Loney,LAD,158,582,0.115,0.304,0.781,0.692,0.947,0.413,0.536,0.054,0.217,1.075688073,2208,0.464,0.883,190,174,105
857,2018,Teoscar Hernandez,TOR,134,523,0.312,0.322,0.455,0.743,0.757,0.412,0.641,0.178,0.322,0.895184136,2110,0.495,0.641,115,138,63
858,2011,Mark Trumbo,LAA,149,573,0.209,0.421,0.675,0.688,0.856,0.425,0.621,0.12,0.268,0.917391304,2130,0.535,0.774,193,162,67
859,2019,Jason Heyward,CHC,147,589,0.187,0.303,0.677,0.68,0.878,0.4,0.545,0.092,0.251,1.00248139,2231,0.454,0.797,187,138,79
860,2014,Howie Kendrick,LAA,157,674,0.163,0.34,0.668,0.656,0.9,0.45,0.639,0.09,0.268,1.071729958,2510,0.483,0.81,305,107,96
861,2017,Ender Inciarte,ATL,158,718,0.131,0.36,0.783,0.712,0.924,0.46,0.642,0.067,0.212,0.91708126,2539,0.522,0.872,260,161,132
862,2017,Manny Machado,BAL,156,690,0.167,0.327,0.674,0.712,0.873,0.422,0.593,0.1,0.237,1.101694915,2548,0.489,0.796,219,219,82
863,2016,Jayson Werth,WSN,143,606,0.229,0.238,0.703,0.546,0.867,0.467,0.568,0.071,0.308,0.828752643,2785,0.382,0.813,161,163,68
864,2010,Jason Kubel,MIN,143,582,0.199,0.28,0.707,0.665,0.875,0.429,0.548,0.081,0.25,0.914606742,2349,0.445,0.815,153,176,78
865,2015,DJ LeMahieu,COL,150,620,0.173,0.248,0.725,0.635,0.906,0.481,0.587,0.064,0.262,1.017817372,2451,0.434,0.852,249,89,119
866,2015,Mark Trumbo,- - -,142,545,0.242,0.368,0.585,0.722,0.809,0.42,0.607,0.146,0.279,0.966666667,2075,0.516,0.716,157,152,68
867,2014,Jacoby Ellsbury,NYY,149,635,0.146,0.288,0.775,0.679,0.915,0.43,0.573,0.061,0.226,1.097065463,2354,0.456,0.865,203,163,120
868,2015,Brett Gardner,NYY,151,656,0.206,0.229,0.662,0.558,0.893,0.435,0.523,0.07,0.296,1.075376884,2732,0.372,0.813,194,145,89
869,2012,Ian Kinsler,TEX,157,731,0.123,0.238,0.753,0.628,0.928,0.49,0.595,0.052,0.249,1.071969697,2902,0.429,0.879,213,239,114
870,2015,Nick Markakis,ATL,156,686,0.121,0.266,0.861,0.623,0.926,0.435,0.56,0.041,0.25,1.062124248,2711,0.421,0.902,277,143,110
871,2019,Wilson Ramos,NYM,141,524,0.132,0.375,0.691,0.761,0.895,0.424,0.641,0.101,0.218,1.172910663,1720,0.539,0.813,254,78,75
872,2017,Carlos Gonzalez,COL,136,534,0.223,0.342,0.524,0.723,0.826,0.411,0.549,0.147,0.268,1.098765432,1941,0.498,0.704,173,113,70
873,2016,Joe Mauer,MIN,134,576,0.161,0.232,0.768,0.508,0.913,0.457,0.601,0.049,0.295,1.125698324,2466,0.358,0.862,209,86,108
874,2015,Brian McCann,NYY,135,535,0.181,0.318,0.739,0.558,0.929,0.422,0.559,0.064,0.271,1,2094,0.419,0.846,134,175,62
875,2016,Brandon Crawford,SFG,155,623,0.185,0.308,0.56,0.786,0.841,0.43,0.563,0.129,0.241,0.950431034,2363,0.514,0.745,188,159,94
876,2016,Yunel Escobar,LAA,132,567,0.118,0.273,0.65,0.73,0.934,0.465,0.647,0.074,0.222,1.283286119,1956,0.486,0.848,263,94,96
877,2018,Marcell Ozuna,STL,148,628,0.175,0.325,0.613,0.728,0.87,0.396,0.613,0.113,0.261,1.236363636,2322,0.484,0.766,224,166,86
878,2016,Troy Tulowitzki,TOR,131,544,0.186,0.284,0.721,0.635,0.858,0.458,0.594,0.084,0.268,1.091160221,2100,0.445,0.81,160,159,76
879,2011,Johnny Damon,TBR,150,647,0.142,0.305,0.708,0.679,0.887,0.432,0.541,0.083,0.244,0.976284585,2607,0.467,0.821,205,189,100
880,2017,Adam Duvall,CIN,157,647,0.263,0.338,0.634,0.669,0.84,0.434,0.637,0.116,0.294,0.89539749,2484,0.481,0.758,142,208,78
881,2018,Jean Segura,SEA,144,632,0.109,0.346,0.783,0.66,0.951,0.432,0.608,0.057,0.238,1.222222222,2209,0.482,0.883,266,151,100
882,2015,Evan Longoria,TBR,160,670,0.197,0.306,0.666,0.678,0.849,0.449,0.591,0.101,0.265,1.043478261,2536,0.473,0.784,187,194,99
883,2017,Kyle Seager,SEA,154,650,0.169,0.253,0.65,0.633,0.866,0.462,0.558,0.087,0.27,1.152334152,2565,0.428,0.798,147,242,80
884,2018,Derek Dietrich,MIA,149,551,0.254,0.344,0.642,0.718,0.859,0.428,0.603,0.114,0.266,0.747412008,2163,0.504,0.774,147,130,84
885,2019,Domingo Santana,SEA,121,507,0.323,0.264,0.519,0.717,0.781,0.449,0.621,0.141,0.298,0.713580247,2127,0.467,0.699,123,89,77
886,2012,Josh Reddick,OAK,156,673,0.224,0.329,0.727,0.725,0.853,0.423,0.568,0.096,0.253,0.763636364,2672,0.496,0.805,135,229,98
887,2017,David Freese,PIT,130,503,0.231,0.268,0.653,0.623,0.854,0.466,0.606,0.092,0.272,0.792929293,2076,0.434,0.788,179,71,64
888,2016,Eric Hosmer,KCR,158,667,0.198,0.339,0.584,0.705,0.872,0.408,0.559,0.119,0.256,1.010660981,2563,0.488,0.754,279,117,78
889,2012,Michael Bourn,ATL,155,703,0.22,0.235,0.625,0.623,0.86,0.444,0.552,0.088,0.277,0.960084034,2917,0.408,0.784,245,112,100
890,2018,Andrelton Simmons,LAA,146,600,0.073,0.28,0.779,0.666,0.929,0.446,0.597,0.056,0.231,1.864963504,1980,0.452,0.877,255,159,97
891,2014,Yoenis Cespedes,- - -,152,645,0.198,0.372,0.67,0.678,0.889,0.441,0.611,0.102,0.269,0.96184739,2412,0.507,0.799,161,230,88
892,2011,Alfonso Soriano,CHC,137,508,0.222,0.437,0.61,0.727,0.876,0.404,0.63,0.137,0.266,0.892156863,1856,0.554,0.751,106,186,72
893,2016,Todd Frazier,CHW,158,666,0.245,0.326,0.602,0.656,0.819,0.428,0.607,0.125,0.279,0.842412451,2766,0.467,0.733,154,211,68
894,2019,Dexter Fowler,STL,150,574,0.247,0.253,0.623,0.686,0.824,0.397,0.599,0.106,0.269,0.820754717,2417,0.425,0.752,135,125,88
895,2013,Nori Aoki,MIL,155,674,0.059,0.259,0.881,0.633,0.943,0.441,0.582,0.033,0.219,1.327628362,2439,0.424,0.921,328,119,96
896,2013,Alex Gordon,KCR,156,700,0.201,0.296,0.665,0.658,0.865,0.43,0.579,0.094,0.268,0.986138614,2805,0.452,0.791,201,196,101
897,2017,Mitch Moreland,BOS,149,576,0.208,0.302,0.598,0.693,0.856,0.415,0.536,0.112,0.267,0.97029703,2267,0.464,0.757,170,142,80
898,2017,Javier Baez,CHC,145,508,0.283,0.451,0.527,0.726,0.778,0.404,0.61,0.192,0.315,0.910364146,1845,0.562,0.658,158,117,50
