,Season,Name,Team,G,PA,BB%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
402,2017,Travis Shaw,MIL,144,606,0.099,0.293,0.67,0.665,0.879,0.426,0.528,0.09,0.25,0.86637931,2396,0.451,0.801,171,151,80
403,2018,Nelson Cruz,SEA,144,591,0.093,0.319,0.511,0.697,0.858,0.385,0.543,0.134,0.277,1.129943503,2282,0.465,0.711,176,154,70
404,2019,Yasmani Grandal,MIL,153,632,0.172,0.244,0.633,0.595,0.841,0.399,0.57,0.091,0.292,0.886792453,2733,0.384,0.762,147,143,86
405,2012,Adam LaRoche,WSN,154,647,0.104,0.273,0.618,0.674,0.87,0.391,0.583,0.097,0.261,1.028037383,2616,0.43,0.772,148,194,98
406,2012,Adam Jones,BAL,162,697,0.049,0.407,0.593,0.731,0.865,0.426,0.637,0.137,0.27,1.071868583,2474,0.545,0.748,240,170,112
407,2014,Anthony Rendon,WSN,153,683,0.085,0.231,0.732,0.618,0.933,0.455,0.564,0.052,0.263,1.130820399,2710,0.407,0.871,204,202,104
408,2014,Robinson Cano,SEA,157,665,0.092,0.356,0.774,0.703,0.944,0.405,0.568,0.062,0.199,1.11814346,2321,0.496,0.872,279,131,120
409,2017,Matt Carpenter,STL,145,622,0.175,0.165,0.66,0.547,0.883,0.46,0.563,0.06,0.287,0.916256158,2764,0.341,0.825,100,189,83
410,2015,George Springer,HOU,102,451,0.111,0.226,0.596,0.708,0.73,0.474,0.612,0.139,0.275,0.996466431,1790,0.454,0.695,128,85,69
411,2014,Matt Holliday,STL,156,667,0.111,0.303,0.703,0.75,0.893,0.413,0.622,0.086,0.208,0.935166994,2450,0.488,0.824,217,180,79
412,2015,Prince Fielder,TEX,158,693,0.092,0.338,0.669,0.713,0.917,0.402,0.561,0.089,0.226,1.162280702,2483,0.488,0.814,245,188,97
413,2011,Nick Swisher,NYY,150,635,0.15,0.206,0.654,0.661,0.861,0.413,0.546,0.08,0.25,1.017412935,2583,0.394,0.797,159,161,89
414,2015,Lorenzo Cain,KCR,140,604,0.061,0.349,0.702,0.679,0.912,0.44,0.598,0.084,0.231,0.940329218,2299,0.495,0.829,208,143,106
415,2013,Evan Longoria,TBR,160,693,0.101,0.243,0.62,0.618,0.834,0.455,0.538,0.096,0.289,1.085308057,2779,0.414,0.765,169,204,85
416,2017,Andrew McCutchen,PIT,156,650,0.112,0.25,0.692,0.679,0.852,0.463,0.582,0.088,0.246,0.934560327,2621,0.449,0.804,186,171,100
417,2016,Ben Zobrist,CHC,147,631,0.152,0.205,0.767,0.561,0.942,0.421,0.566,0.041,0.266,1.12244898,2655,0.355,0.883,211,134,95
418,2019,Hunter Dozier,KCR,139,586,0.094,0.301,0.501,0.66,0.904,0.406,0.606,0.115,0.292,1.032608696,2253,0.447,0.743,131,167,82
419,2018,Aaron Hicks,NYY,137,581,0.155,0.209,0.671,0.655,0.827,0.42,0.53,0.087,0.258,0.929648241,2487,0.396,0.78,148,142,80
420,2012,Chipper Jones,ATL,112,448,0.127,0.228,0.625,0.729,0.874,0.405,0.542,0.087,0.224,1.591549296,1613,0.43,0.796,156,110,73
421,2019,Luke Voit,NYY,118,510,0.139,0.266,0.442,0.786,0.781,0.401,0.598,0.158,0.278,0.8252149,2016,0.474,0.667,114,100,74
422,2012,Albert Pujols,LAA,154,670,0.078,0.356,0.769,0.625,0.907,0.425,0.561,0.07,0.237,1.140127389,2531,0.47,0.847,222,214,101
423,2018,Giancarlo Stanton,NYY,158,705,0.099,0.325,0.522,0.653,0.805,0.379,0.567,0.145,0.299,0.866666667,2942,0.449,0.678,187,152,77
424,2011,Andrew McCutchen,PIT,158,678,0.131,0.219,0.638,0.628,0.868,0.467,0.568,0.081,0.266,0.937629938,2832,0.41,0.803,173,188,90
425,2017,Mitch Haniger,SEA,96,410,0.076,0.245,0.587,0.617,0.886,0.47,0.627,0.087,0.29,1.065891473,1599,0.42,0.793,121,101,53
426,2016,Joc Pederson,LAD,137,476,0.132,0.274,0.607,0.617,0.842,0.408,0.592,0.103,0.282,0.779369628,1999,0.414,0.75,108,108,56
427,2014,Nolan Arenado,COL,111,467,0.054,0.381,0.775,0.716,0.894,0.434,0.683,0.081,0.223,1.118343195,1611,0.526,0.845,142,158,78
428,2012,Nick Markakis,BAL,104,471,0.089,0.274,0.863,0.597,0.939,0.425,0.597,0.037,0.249,1.22295082,1812,0.411,0.91,156,117,100
429,2017,Aaron Altherr,PHI,107,412,0.078,0.285,0.52,0.637,0.83,0.453,0.629,0.124,0.306,1.111570248,1593,0.444,0.722,116,101,52
430,2021,Salvador Perez,KCR,161,665,0.042,0.483,0.559,0.787,0.833,0.347,0.647,0.185,0.278,0.88671875,2392,0.589,0.686,169,182,103
431,2013,Nelson Cruz,TEX,109,456,0.077,0.3,0.57,0.669,0.814,0.454,0.596,0.126,0.292,1.013157895,1797,0.468,0.728,129,127,52
432,2013,Carlos Beltran,STL,145,600,0.063,0.307,0.674,0.683,0.903,0.421,0.578,0.086,0.25,1.306406685,2181,0.466,0.815,165,192,112
433,2018,Lorenzo Cain,MIL,141,620,0.115,0.249,0.691,0.647,0.909,0.438,0.602,0.069,0.256,1.06175772,2452,0.423,0.837,244,103,100
434,2015,Brandon Belt,SFG,137,556,0.101,0.286,0.623,0.809,0.807,0.406,0.601,0.127,0.238,0.6796875,2320,0.498,0.744,116,132,100
435,2018,Michael Brantley,CLE,143,631,0.076,0.271,0.787,0.658,0.973,0.439,0.58,0.04,0.217,1.284289277,2286,0.441,0.909,232,156,127
436,2018,Anthony Rizzo,CHC,153,665,0.105,0.328,0.749,0.679,0.919,0.418,0.57,0.071,0.233,0.995959596,2444,0.475,0.851,187,184,122
