,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,M-Swing%,Meat%,Edge%,Fair/Foul ratio
588,2016,Yasmany Tomas,ARI,140,563,0.242,0.424,0.576,0.803,0.824,0.412,0.71,0.163,0.271,0.863,0.064,0.396,0.929411765
589,2017,Avisail Garcia,CHW,136,561,0.198,0.398,0.529,0.834,0.842,0.439,0.626,0.163,0.244,0.91,0.085,0.389,0.920993228
590,2015,Brandon Crawford,SFG,143,561,0.212,0.346,0.562,0.761,0.842,0.428,0.624,0.136,0.263,0.892,0.072,0.407,0.864142539
591,2015,Ender Inciarte,ARI,132,561,0.103,0.341,0.823,0.609,0.942,0.47,0.62,0.049,0.243,0.696,0.076,0.435,1.288135593
592,2019,Javier Baez,CHC,138,561,0.278,0.441,0.542,0.743,0.795,0.367,0.658,0.184,0.303,0.689,0.069,0.437,1.041551247
593,2017,Jose Reyes,NYM,145,561,0.141,0.306,0.707,0.628,0.911,0.447,0.615,0.075,0.269,0.739,0.075,0.435,1.185393258
594,2021,Tommy Pham,SDP,155,561,0.228,0.193,0.587,0.626,0.862,0.436,0.551,0.083,0.285,0.764,0.073,0.409,0.975
595,2019,Brandon Crawford,SFG,147,560,0.209,0.32,0.602,0.781,0.824,0.417,0.625,0.132,0.25,0.93,0.055,0.428,0.859060403
597,2018,Matt Duffy,TBR,132,560,0.166,0.298,0.701,0.678,0.925,0.433,0.634,0.073,0.238,0.743,0.083,0.429,0.983253589
599,2019,Daniel Vogelbach,SEA,144,558,0.267,0.22,0.644,0.522,0.811,0.4,0.52,0.086,0.318,0.718,0.066,0.422,0.957446809
600,2017,Jordy Mercer,PIT,145,558,0.158,0.262,0.722,0.598,0.918,0.465,0.552,0.062,0.271,0.855,0.065,0.395,1.134246575
601,2021,Josh Harrison,- - -,138,558,0.134,0.389,0.754,0.77,0.875,0.431,0.649,0.096,0.227,0.774,0.071,0.407,1.014084507
602,2016,Michael Saunders,TOR,140,558,0.281,0.258,0.5,0.699,0.844,0.428,0.55,0.12,0.27,0.834,0.071,0.432,0.752252252
603,2015,Derek Norris,SDP,147,557,0.235,0.263,0.563,0.637,0.892,0.499,0.591,0.092,0.286,0.817,0.079,0.433,0.934466019
604,2018,Billy Hamilton,CIN,153,556,0.237,0.299,0.677,0.676,0.84,0.466,0.653,0.102,0.267,0.732,0.075,0.421,0.842592593
605,2015,Brandon Belt,SFG,137,556,0.264,0.286,0.623,0.809,0.807,0.406,0.601,0.127,0.238,0.919,0.065,0.423,0.6796875
606,2019,George Springer,HOU,122,556,0.203,0.228,0.565,0.721,0.827,0.43,0.613,0.11,0.258,0.682,0.066,0.399,0.951156812
607,2021,Adam Duvall,- - -,146,555,0.314,0.376,0.579,0.679,0.854,0.412,0.616,0.134,0.301,0.679,0.074,0.419,0.76169265
608,2015,Billy Burns,OAK,125,555,0.146,0.377,0.788,0.788,0.891,0.49,0.679,0.083,0.194,0.644,0.063,0.436,0.808630394
609,2015,Cameron Maybin,ATL,141,555,0.184,0.267,0.641,0.62,0.896,0.474,0.605,0.08,0.278,0.76,0.066,0.421,1.10989011
610,2017,Trevor Story,COL,145,555,0.344,0.309,0.53,0.69,0.799,0.449,0.636,0.142,0.298,0.779,0.077,0.424,0.667386609
611,2021,Willy Adames,- - -,140,555,0.281,0.316,0.542,0.736,0.79,0.411,0.611,0.149,0.288,0.853,0.073,0.415,0.830097087
612,2019,Yolmer Sanchez,CHW,149,555,0.211,0.332,0.696,0.678,0.853,0.429,0.618,0.1,0.274,0.764,0.073,0.423,0.788702929
613,2021,Kevin Newman,PIT,148,554,0.074,0.306,0.792,0.622,0.947,0.437,0.608,0.05,0.255,0.695,0.087,0.412,1.644599303
614,2015,Lucas Duda,NYM,135,554,0.249,0.286,0.605,0.636,0.88,0.392,0.513,0.098,0.277,0.75,0.066,0.416,0.842105263
615,2017,Hanley Ramirez,BOS,133,553,0.21,0.326,0.6,0.696,0.858,0.418,0.62,0.117,0.264,0.711,0.049,0.442,1.010638298
617,2015,Salvador Perez,KCR,142,553,0.148,0.425,0.736,0.685,0.907,0.445,0.606,0.09,0.246,0.667,0.074,0.418,1.213903743
618,2015,Chris Owings,ARI,147,552,0.261,0.376,0.578,0.709,0.87,0.47,0.668,0.127,0.288,0.727,0.059,0.43,0.828767123
