,Season,Name,Team,G,PA,H,2B,2B%,FB%,GB%,LD%,SweetSpot%,Pull%,Cent%,Oppo%,Barrel%,HardHit%,LDFB_EV,Spd
1139,2017,Nick Markakis,ATL,160,670,163,39,0.239263804,0.292,0.466,0.222,0.304,0.333,0.366,0.3,0.025,0.344,0.4575,1.9
1140,2015,Yolmer Sanchez,CHW,120,420,87,23,0.264367816,0.231,0.294,0.228,0.447,0.308,0.365,0.327,0.013,0.206,0.4435,3.2
1141,2016,Alexei Ramirez,- - -,145,506,115,22,0.191304348,0.281,0.369,0.202,0.308,0.44,0.349,0.211,0.005,0.239,0.4535,1.8
1142,2016,Jason Heyward,CHC,142,592,122,27,0.221311475,0.333,0.5,0.205,0.279,0.407,0.366,0.227,0.025,0.309,0.4865,3.6
1143,2021,Isiah Kiner-Falefa,TEX,158,677,172,25,0.145348837,0.261,0.299,0.201,0.365,0.349,0.356,0.296,0.018,0.286,0.472,3.1
1144,2017,DJ LeMahieu,COL,155,682,189,28,0.148148148,0.197,0.453,0.247,0.277,0.216,0.4,0.383,0.015,0.412,0.485,5
1145,2017,Joe Mauer,MIN,141,597,160,36,0.225,0.236,0.456,0.249,0.27,0.247,0.375,0.378,0.038,0.458,0.474,2.4
1146,2015,Ryan Goins,TOR,128,428,94,16,0.170212766,0.279,0.549,0.18,0.303,0.341,0.364,0.295,0.023,0.318,0.4785,2.4
1147,2015,Freddy Galvis,PHI,151,603,147,14,0.095238095,0.369,0.505,0.222,0.263,0.364,0.351,0.285,0.017,0.218,0.4685,3.8
1148,2021,Raimel Tapia,COL,133,533,133,26,0.195488722,0.164,0.468,0.162,0.377,0.301,0.4,0.299,0.021,0.315,0.47,2.2
1149,2018,Buster Posey,SFG,105,448,113,22,0.194690265,0.308,0.498,0.222,0.301,0.337,0.383,0.28,0.04,0.349,0.4675,1.3
1150,2018,Joe Mauer,MIN,127,543,137,27,0.197080292,0.221,0.492,0.269,0.308,0.255,0.403,0.342,0.042,0.428,0.4755,2.9
1151,2016,Brett Gardner,NYY,148,634,143,22,0.153846154,0.27,0.496,0.207,0.317,0.336,0.382,0.282,0.022,0.24,0.4765,2.6
1152,2017,Dansby Swanson,ATL,144,551,113,23,0.203539823,0.294,0.539,0.232,0.188,0.425,0.309,0.266,0.03,0.317,0.4535,2.5
1153,2018,Jose Iglesias,DET,125,464,116,31,0.267241379,0.335,0.436,0.229,0.325,0.421,0.341,0.238,0.013,0.223,0.481,4.4
1154,2018,Addison Russell,CHC,130,465,105,21,0.2,0.33,0.301,0.246,0.415,0.306,0.401,0.293,0.022,0.265,0.4485,2
1155,2018,Robbie Grossman,MIN,129,465,108,27,0.25,0.371,0.51,0.242,0.291,0.366,0.347,0.288,0.019,0.278,0.4555,1.9
1156,2016,Chris Owings,ARI,119,466,121,24,0.198347107,0.272,0.385,0.231,0.319,0.319,0.398,0.282,0.023,0.328,0.4895,3.9
1157,2015,Xander Bogaerts,BOS,156,654,196,35,0.178571429,0.258,0.489,0.213,0.336,0.338,0.342,0.32,0.021,0.338,0.4555,4.8
1158,2015,Ender Inciarte,ARI,132,561,159,27,0.169811321,0.259,0.46,0.217,0.361,0.34,0.328,0.332,0.006,0.197,0.4805,5
1159,2019,Mallex Smith,SEA,134,566,116,19,0.163793103,0.3,0.399,0.19,0.35,0.317,0.368,0.315,0.022,0.199,0.469,4
1160,2015,Elvis Andrus,TEX,160,661,154,34,0.220779221,0.318,0.376,0.211,0.337,0.437,0.31,0.252,0.013,0.271,0.4725,3.2
1161,2018,Jose Pirela,SDP,146,473,109,23,0.211009174,0.257,0.393,0.209,0.375,0.325,0.405,0.271,0.026,0.368,0.4665,3.5
1162,2021,Nick Ahmed,ARI,129,473,96,30,0.3125,0.339,0.535,0.183,0.282,0.438,0.336,0.225,0.024,0.276,0.4605,2.8
1163,2021,Leury Garcia,CHW,126,474,111,22,0.198198198,0.241,0.522,0.201,0.337,0.38,0.361,0.259,0.033,0.322,0.451,5.2
1164,2018,Albert Almora Jr.,CHC,152,479,127,24,0.188976378,0.291,0.496,0.202,0.283,0.382,0.322,0.295,0.011,0.274,0.4505,1
1165,2015,Kurt Suzuki,MIN,131,479,104,17,0.163461538,0.377,0.363,0.194,0.375,0.414,0.349,0.237,0.008,0.292,0.4555,4.4
1166,2016,Paulo Orlando,KCR,128,484,138,24,0.173913043,0.258,0.475,0.218,0.39,0.341,0.391,0.268,0.053,0.368,0.451,5.5
1167,2015,Jean Segura,MIL,142,584,144,16,0.111111111,0.242,0.541,0.167,0.302,0.248,0.379,0.373,0.008,0.265,0.465,3.2
1168,2016,Alcides Escobar,KCR,162,682,166,24,0.144578313,0.299,0.482,0.201,0.286,0.414,0.336,0.25,0.013,0.174,0.4725,3.1
1169,2019,Joe Panik,- - -,142,491,107,21,0.196261682,0.338,0.393,0.229,0.335,0.358,0.375,0.267,0.018,0.257,0.492,2.4
1170,2015,Jace Peterson,ATL,152,597,126,23,0.182539683,0.318,0.349,0.22,0.332,0.385,0.337,0.278,0.031,0.263,0.449,3.7
1171,2015,Adeiny Hechavarria,MIA,130,499,132,17,0.128787879,0.286,0.527,0.203,0.333,0.303,0.386,0.311,0.01,0.308,0.46,3
1172,2019,Delino DeShields,TEX,118,408,89,15,0.168539326,0.324,0.366,0.25,0.29,0.33,0.367,0.303,0.022,0.243,0.463,3.3
1173,2015,Alex Rios,KCR,105,411,98,22,0.224489796,0.38,0.358,0.222,0.308,0.426,0.358,0.216,0.019,0.312,0.473,2.5
1174,2017,Kolten Wong,STL,108,411,101,27,0.267326733,0.318,0.335,0.201,0.371,0.383,0.332,0.285,0.02,0.285,0.4635,4.2
1175,2021,Jurickson Profar,SDP,137,412,80,17,0.2125,0.367,0.488,0.215,0.294,0.405,0.306,0.289,0.027,0.295,0.4475,4.9
1176,2015,DJ LeMahieu,COL,150,620,170,21,0.123529412,0.195,0.549,0.26,0.336,0.212,0.398,0.39,0.017,0.398,0.455,5.6
1177,2017,Jose Peraza,CIN,143,518,126,9,0.071428571,0.313,0.508,0.216,0.305,0.323,0.392,0.285,0.014,0.2,0.4725,3.1
1178,2016,Cesar Hernandez,PHI,155,622,161,14,0.086956522,0.207,0.447,0.244,0.36,0.365,0.34,0.295,0.018,0.29,0.47,3.6
