,Season,Name,Team,G,PA,ISO,FB%,GB%,LD%,SweetSpot%,HR/FB,Barrel%,HardHit%,LDFB_EV,Pull%,Cent%,Oppo%,,HR,AB,Spd
65,2019,Eloy Jimenez,CHW,122,504,0.246,0.339,0.434,0.182,0.324,0.272,0.122,0.479,0.483,0.432,0.394,0.266,,31,468,5
66,2017,Michael Conforto,NYM,109,440,0.276,0.378,0.46,0.244,0.385,0.273,0.122,0.424,0.4755,0.324,0.31,0.296,,27,373,7.1
67,2015,Khris Davis,MIL,121,440,0.258,0.403,0.315,0.172,0.319,0.245,0.139,0.432,0.482,0.414,0.279,0.183,,27,392,2.1
68,2017,Lucas Duda,- - -,127,491,0.279,0.486,0.491,0.21,0.403,0.213,0.114,0.441,0.476,0.462,0.375,0.223,,30,423,5.9
69,2021,Rhys Hoskins,PHI,107,443,0.283,0.509,0.433,0.198,0.367,0.188,0.17,0.463,0.479,0.442,0.326,0.213,,27,389,9
70,2021,Max Muncy,LAD,144,592,0.278,0.413,0.421,0.206,0.349,0.231,0.161,0.463,0.4865,0.439,0.413,0.238,,36,497,7
71,2016,Brian Dozier,MIN,155,691,0.278,0.477,0.386,0.159,0.312,0.184,0.081,0.362,0.4715,0.564,0.333,0.218,,42,615,4.4
72,2016,David Ortiz,BOS,151,626,0.305,0.451,0.507,0.221,0.393,0.184,0.135,0.476,0.485,0.48,0.373,0.201,,38,537,5.9
73,2015,Albert Pujols,LAA,157,661,0.236,0.422,0.485,0.159,0.295,0.178,0.071,0.383,0.469,0.458,0.349,0.193,,40,602,2.7
74,2017,Nelson Cruz,SEA,155,645,0.261,0.418,0.467,0.177,0.345,0.22,0.137,0.487,0.493,0.418,0.333,0.261,,39,556,7.1
75,2021,Giancarlo Stanton,NYY,139,579,0.243,0.368,0.428,0.185,0.326,0.267,0.157,0.556,0.4965,0.379,0.315,0.229,,35,510,3.1
76,2019,Aaron Judge,NYY,102,447,0.267,0.324,0.389,0.273,0.391,0.351,0.197,0.569,0.498,0.387,0.345,0.269,,27,378,3.6
77,2019,Max Kepler,MIN,134,596,0.267,0.466,0.463,0.172,0.305,0.18,0.084,0.417,0.4645,0.534,0.268,0.198,,36,524,2.6
78,2019,Josh Bell,PIT,143,613,0.292,0.373,0.456,0.188,0.333,0.239,0.12,0.464,0.4905,0.425,0.336,0.265,,37,527,3
79,2016,Brandon Moss,STL,128,464,0.259,0.526,0.452,0.204,0.372,0.194,0.126,0.39,0.4675,0.462,0.314,0.224,,28,413,3.9
80,2015,David Ortiz,BOS,146,614,0.28,0.41,0.377,0.224,0.348,0.204,0.124,0.493,0.4845,0.443,0.353,0.292,,37,528,4.1
81,2018,Daniel Palka,CHW,124,449,0.245,0.379,0.418,0.163,0.28,0.27,0.144,0.489,0.487,0.455,0.337,0.208,,27,417,3.9
82,2015,Mike Trout,LAA,159,682,0.29,0.384,0.352,0.244,0.389,0.253,0.161,0.486,0.485,0.382,0.336,0.25,,41,575,5.4
83,2015,Jose Bautista,TOR,153,666,0.285,0.488,0.523,0.139,0.295,0.184,0.121,0.458,0.4365,0.533,0.286,0.178,,40,543,3.9
84,2016,Todd Frazier,CHW,158,666,0.239,0.487,0.314,0.157,0.315,0.19,0.097,0.354,0.4695,0.487,0.374,0.321,,40,590,2.8
85,2019,Mike Moustakas,MIL,143,584,0.262,0.453,0.382,0.189,0.323,0.182,0.101,0.405,0.469,0.407,0.363,0.304,,35,523,4.4
86,2016,Edwin Encarnacion,TOR,160,702,0.266,0.414,0.319,0.204,0.359,0.215,0.112,0.411,0.478,0.522,0.293,0.185,,42,601,2.2
87,2017,Mike Napoli,TEX,124,485,0.235,0.521,0.492,0.147,0.291,0.21,0.147,0.414,0.4705,0.521,0.27,0.202,,29,425,3.6
88,2017,Justin Smoak,TOR,158,637,0.259,0.445,0.43,0.212,0.394,0.197,0.12,0.429,0.473,0.408,0.37,0.231,,38,560,3.1
89,2019,Max Muncy,LAD,141,589,0.265,0.387,0.388,0.235,0.389,0.265,0.111,0.43,0.472,0.442,0.368,0.239,,35,487,3.9
90,2019,Alex Bregman,HOU,156,690,0.296,0.459,0.365,0.225,0.355,0.186,0.046,0.372,0.4615,0.453,0.363,0.184,,41,554,3.8
91,2016,Yasmani Grandal,LAD,126,457,0.249,0.392,0.463,0.161,0.284,0.252,0.124,0.447,0.48,0.429,0.374,0.294,,27,390,1.3
92,2018,Hunter Renfroe,SDP,117,441,0.256,0.428,0.424,0.197,0.288,0.203,0.11,0.435,0.4875,0.488,0.331,0.181,,26,403,2.8
93,2017,Bryce Harper,WSN,111,492,0.276,0.376,0.499,0.22,0.355,0.24,0.096,0.426,0.4765,0.355,0.322,0.178,,29,420,1.9
94,2016,Nolan Arenado,COL,160,696,0.275,0.467,0.413,0.18,0.327,0.168,0.082,0.396,0.464,0.457,0.37,0.222,,41,618,6.1
95,2017,Matt Davidson,CHW,118,443,0.232,0.465,0.445,0.173,0.358,0.22,0.146,0.417,0.4745,0.421,0.338,0.299,,26,414,4
96,2019,Willson Contreras,CHC,105,409,0.261,0.34,0.383,0.158,0.312,0.273,0.112,0.415,0.4735,0.412,0.379,0.248,,24,360,3.3
97,2021,Bryce Harper,PHI,141,599,0.305,0.373,0.383,0.219,0.386,0.267,0.181,0.492,0.488,0.381,0.344,0.275,,35,488,4.3
98,2017,Jay Bruce,- - -,146,617,0.254,0.467,0.308,0.208,0.394,0.185,0.093,0.389,0.462,0.444,0.344,0.212,,36,555,2.6
99,2017,Justin Bour,MIA,108,429,0.247,0.336,0.556,0.231,0.371,0.26,0.087,0.406,0.4765,0.472,0.337,0.245,,25,377,2.8
100,2021,Nick Castellanos,CIN,138,585,0.267,0.358,0.372,0.267,0.44,0.228,0.106,0.469,0.4745,0.394,0.289,0.24,,34,531,3.6
101,2017,Ian Happ,CHC,115,413,0.261,0.397,0.385,0.201,0.369,0.253,0.137,0.398,0.467,0.448,0.354,0.277,,24,364,5.6
102,2021,Pete Alonso,NYM,152,637,0.257,0.429,0.412,0.183,0.345,0.197,0.148,0.473,0.4775,0.413,0.383,0.24,,37,561,4.6
103,2017,Miguel Sano,MIN,114,483,0.243,0.405,0.332,0.206,0.369,0.275,0.147,0.472,0.4925,0.44,0.388,0.255,,28,424,4.7
104,2021,Matt Olson,OAK,156,673,0.269,0.437,0.34,0.165,0.324,0.193,0.127,0.484,0.4805,0.404,0.369,0.244,,39,565,7.1
105,2015,J.D. Martinez,DET,158,657,0.253,0.435,0.403,0.223,0.399,0.208,0.159,0.482,0.4795,0.411,0.347,0.242,,38,596,3.1
106,2015,Josh Donaldson,TOR,158,711,0.271,0.379,0.52,0.173,0.358,0.218,0.114,0.465,0.4485,0.429,0.335,0.236,,41,620,4.5
107,2017,Mike Zunino,SEA,124,435,0.258,0.456,0.316,0.224,0.351,0.24,0.14,0.469,0.48,0.509,0.325,0.167,,25,387,1.9
108,2016,Giancarlo Stanton,MIA,119,470,0.249,0.433,0.556,0.167,0.295,0.227,0.152,0.475,0.485,0.404,0.306,0.313,,27,413,2.1
109,2019,Ronald Acuna Jr.,ATL,156,715,0.238,0.376,0.393,0.244,0.405,0.248,0.129,0.471,0.478,0.401,0.352,0.259,,41,626,2.2
110,2021,Rafael Devers,BOS,156,664,0.259,0.383,0.471,0.205,0.352,0.221,0.15,0.515,0.4865,0.364,0.328,0.263,,38,591,3.6
111,2016,Chris Davis,BAL,157,665,0.239,0.437,0.417,0.198,0.357,0.25,0.151,0.44,0.481,0.417,0.332,0.358,,38,566,5.2
112,2016,Yoenis Cespedes,NYM,132,543,0.251,0.414,0.362,0.215,0.329,0.199,0.095,0.477,0.4755,0.393,0.331,0.269,,31,479,5.9
113,2017,Edwin Encarnacion,CLE,157,669,0.245,0.418,0.459,0.211,0.364,0.213,0.103,0.422,0.471,0.467,0.329,0.204,,38,554,2.7
114,2021,Javier Baez,- - -,138,547,0.229,0.345,0.349,0.185,0.324,0.282,0.134,0.45,0.479,0.442,0.356,0.244,,31,502,2.3
115,2021,Jose Ramirez,CLE,152,636,0.272,0.452,0.389,0.192,0.355,0.17,0.111,0.423,0.4595,0.568,0.347,0.179,,36,552,2.1
116,2019,Jose Altuve,HOU,124,548,0.252,0.325,0.354,0.176,0.34,0.233,0.078,0.336,0.4615,0.5,0.386,0.232,,31,500,1
117,2017,Scott Schebler,CIN,141,531,0.252,0.382,0.331,0.162,0.3,0.224,0.099,0.408,0.478,0.459,0.341,0.244,,30,473,5
118,2018,Nolan Arenado,COL,156,673,0.264,0.388,0.604,0.213,0.354,0.207,0.072,0.402,0.472,0.398,0.346,0.251,,38,590,2.8
119,2021,Mitch Haniger,SEA,157,691,0.232,0.405,0.434,0.161,0.336,0.21,0.126,0.447,0.471,0.473,0.283,0.153,,39,620,6.1
120,2017,Paul DeJong,STL,108,443,0.247,0.429,0.534,0.235,0.422,0.198,0.088,0.395,0.4685,0.469,0.344,0.229,,25,417,4
121,2018,Joc Pederson,LAD,148,443,0.273,0.436,0.537,0.17,0.299,0.184,0.076,0.398,0.4735,0.427,0.366,0.243,,25,395,2.6
122,2018,Trevor Story,COL,157,656,0.276,0.431,0.43,0.227,0.382,0.199,0.124,0.456,0.475,0.433,0.352,0.32,,37,598,6.5
123,2021,Miguel Sano,MIN,135,532,0.243,0.427,0.264,0.184,0.323,0.244,0.177,0.556,0.497,0.462,0.292,0.247,,30,470,2.3
124,2021,Ryan Mountcastle,BAL,144,586,0.232,0.426,0.384,0.221,0.389,0.204,0.118,0.397,0.4625,0.397,0.333,0.284,,33,534,4.3
125,2021,Avisail Garcia,MIL,135,515,0.228,0.322,0.361,0.206,0.359,0.261,0.122,0.461,0.476,0.443,0.362,0.194,,29,461,3.4
126,2017,Eric Thames,MIL,138,551,0.271,0.413,0.479,0.203,0.363,0.246,0.114,0.389,0.4705,0.454,0.407,0.275,,31,469,4.9
127,2019,Josh Donaldson,ATL,155,659,0.262,0.364,0.447,0.215,0.395,0.257,0.152,0.505,0.4495,0.485,0.353,0.169,,37,549,2.1
128,2018,Eugenio Suarez,CIN,143,606,0.243,0.371,0.417,0.246,0.386,0.234,0.097,0.455,0.465,0.427,0.358,0.215,,34,527,2.3
129,2019,Teoscar Hernandez,TOR,125,464,0.242,0.432,0.358,0.178,0.306,0.228,0.113,0.423,0.481,0.487,0.365,0.228,,26,417,3.9
130,2016,Jay Bruce,- - -,147,589,0.256,0.41,0.39,0.219,0.358,0.194,0.082,0.382,0.465,0.445,0.304,0.267,,33,539,3.2
131,2016,Miguel Cabrera,DET,158,679,0.247,0.355,0.339,0.227,0.401,0.221,0.149,0.5,0.486,0.378,0.394,0.358,,38,595,3
132,2018,Jose Ramirez,CLE,157,698,0.282,0.459,0.419,0.207,0.328,0.169,0.069,0.345,0.4425,0.5,0.302,0.198,,39,578,6.2
133,2019,Austin Meadows,TBR,138,591,0.268,0.429,0.453,0.231,0.381,0.193,0.115,0.429,0.4735,0.451,0.356,0.243,,33,530,4.1
134,2016,Kris Bryant,CHC,155,699,0.262,0.458,0.48,0.237,0.363,0.188,0.117,0.389,0.4695,0.467,0.355,0.207,,39,603,5.3
135,2018,Evan Gattis,HOU,128,451,0.226,0.468,0.505,0.169,0.312,0.17,0.07,0.338,0.4605,0.503,0.398,0.184,,25,407,2.1
136,2018,Christian Yelich,MIL,147,651,0.272,0.235,0.503,0.247,0.367,0.35,0.122,0.508,0.486,0.349,0.381,0.27,,36,574,6.8
137,2018,Edwin Encarnacion,CLE,137,579,0.228,0.437,0.398,0.203,0.341,0.195,0.104,0.404,0.4715,0.456,0.34,0.281,,32,500,0.6
138,2021,Bobby Dalbec,BOS,133,453,0.254,0.431,0.399,0.195,0.363,0.221,0.202,0.481,0.485,0.393,0.37,0.263,,25,417,4.1
139,2021,Yordan Alvarez,HOU,144,598,0.253,0.391,0.429,0.231,0.372,0.214,0.159,0.542,0.487,0.352,0.33,0.233,,33,537,1.1
140,2017,Justin Upton,- - -,152,635,0.268,0.437,0.38,0.196,0.36,0.212,0.122,0.415,0.4715,0.386,0.299,0.287,,35,557,2.7
141,2016,Yasmany Tomas,ARI,140,563,0.236,0.314,0.399,0.21,0.337,0.25,0.101,0.423,0.4755,0.41,0.403,0.239,,31,530,2.7
142,2015,Pedro Alvarez,PIT,150,491,0.227,0.269,0.556,0.204,0.284,0.325,0.103,0.471,0.492,0.442,0.368,0.221,,27,437,4.8
143,2019,Freddie Freeman,ATL,158,692,0.255,0.341,0.295,0.275,0.4,0.236,0.117,0.424,0.469,0.405,0.352,0.201,,38,597,2.3
144,2017,Luis Valbuena,LAA,117,401,0.233,0.473,0.518,0.143,0.301,0.19,0.098,0.333,0.4655,0.423,0.258,0.212,,22,347,2.3
145,2017,Brandon Moss,KCR,118,401,0.221,0.445,0.318,0.225,0.364,0.21,0.136,0.419,0.473,0.53,0.399,0.245,,22,362,5.1
146,2019,J.D. Martinez,BOS,146,657,0.252,0.348,0.39,0.224,0.407,0.234,0.108,0.47,0.4755,0.412,0.324,0.265,,36,575,3.1
147,2019,Danny Santana,TEX,130,511,0.251,0.351,0.321,0.247,0.378,0.243,0.088,0.435,0.4735,0.421,0.329,0.197,,28,474,8.2
148,2021,Nelson Cruz,- - -,140,584,0.232,0.386,0.415,0.184,0.318,0.209,0.135,0.52,0.488,0.414,0.379,0.373,,32,513,6.4
149,2016,Robinson Cano,SEA,161,715,0.235,0.361,0.486,0.18,0.329,0.193,0.066,0.43,0.467,0.389,0.328,0.271,,39,655,6.2
150,2018,Travis Shaw,MIL,152,587,0.239,0.445,0.371,0.181,0.312,0.183,0.093,0.38,0.4655,0.458,0.282,0.227,,32,498,5.6
151,2017,Marcell Ozuna,MIA,159,679,0.237,0.335,0.473,0.193,0.31,0.234,0.085,0.454,0.484,0.386,0.35,0.209,,37,613,5.8
152,2017,Freddie Freeman,ATL,117,514,0.28,0.406,0.408,0.245,0.401,0.199,0.13,0.418,0.469,0.386,0.329,0.285,,28,440,4.3
153,2019,Eric Thames,MIL,149,459,0.258,0.461,0.486,0.205,0.36,0.21,0.085,0.43,0.4675,0.43,0.357,0.213,,25,396,4.1
154,2017,Nolan Arenado,COL,159,680,0.277,0.449,0.52,0.211,0.375,0.163,0.079,0.376,0.465,0.377,0.325,0.253,,37,606,1.4
155,2017,Scooter Gennett,CIN,141,497,0.236,0.376,0.589,0.211,0.347,0.208,0.06,0.352,0.4605,0.424,0.354,0.317,,27,461,5
156,2017,Hunter Renfroe,SDP,122,479,0.236,0.454,0.56,0.167,0.324,0.187,0.105,0.343,0.4715,0.5,0.322,0.295,,26,445,3
157,2016,Adam Duvall,CIN,150,608,0.257,0.467,0.395,0.194,0.361,0.178,0.113,0.411,0.472,0.495,0.364,0.222,,33,552,3.2
158,2019,Eddie Rosario,MIN,137,590,0.224,0.422,0.444,0.204,0.332,0.158,0.077,0.357,0.4695,0.488,0.307,0.205,,32,562,3.6
159,2018,Aaron Judge,NYY,112,498,0.249,0.35,0.445,0.233,0.357,0.29,0.154,0.541,0.4885,0.402,0.312,0.286,,27,413,3
160,2021,Hunter Renfroe,BOS,144,572,0.242,0.433,0.557,0.176,0.327,0.18,0.144,0.443,0.4815,0.461,0.383,0.262,,31,521,1.3
161,2017,Paul Goldschmidt,ARI,155,665,0.265,0.349,0.373,0.188,0.328,0.248,0.123,0.471,0.483,0.395,0.363,0.225,,36,558,4.4
162,2018,Randal Grichuk,TOR,124,462,0.257,0.466,0.489,0.184,0.351,0.176,0.138,0.43,0.4795,0.498,0.365,0.275,,25,424,4.5
163,2017,Salvador Perez,KCR,129,499,0.227,0.47,0.356,0.197,0.344,0.151,0.084,0.385,0.4635,0.53,0.321,0.222,,27,471,2.4
164,2017,George Springer,HOU,140,629,0.239,0.338,0.379,0.179,0.311,0.228,0.084,0.427,0.4805,0.408,0.335,0.285,,34,548,4.3
165,2021,Eugenio Suarez,CIN,145,574,0.23,0.466,0.365,0.171,0.33,0.196,0.15,0.398,0.4695,0.472,0.317,0.179,,31,505,3.9
166,2018,Giancarlo Stanton,NYY,158,705,0.243,0.365,0.485,0.185,0.3,0.25,0.147,0.505,0.4985,0.389,0.324,0.191,,38,617,3.6
167,2021,Teoscar Hernandez,TOR,143,595,0.227,0.361,0.377,0.255,0.374,0.219,0.139,0.488,0.4815,0.426,0.354,0.297,,32,550,6.6
168,2019,Daniel Vogelbach,SEA,144,558,0.232,0.448,0.297,0.222,0.39,0.213,0.098,0.378,0.468,0.413,0.34,0.248,,30,462,1.2
169,2017,Yonder Alonso,- - -,142,521,0.235,0.432,0.373,0.228,0.357,0.194,0.093,0.408,0.467,0.408,0.328,0.255,,28,451,1.3
170,2019,Matt Chapman,OAK,156,670,0.257,0.431,0.344,0.155,0.251,0.19,0.109,0.481,0.4855,0.424,0.265,0.176,,36,583,1.9
171,2018,C.J. Cron,TBR,140,560,0.24,0.388,0.463,0.211,0.343,0.214,0.119,0.366,0.4695,0.454,0.382,0.23,,30,501,3.2
172,2019,Roberto Perez,CLE,119,449,0.213,0.323,0.372,0.171,0.322,0.282,0.106,0.41,0.475,0.33,0.361,0.284,,24,389,4.4
