,Season,Name,Team,G,PA,H,H/PA,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,,HR/FB,Barrel%*10,Pull%,Cent%,Oppo%
49,2015,Joey Votto,CIN,158,695,171,0.246043165,0.371,0.25,0.422,0.328,0.015,0.372,0.095,0.425,,0.216,0.95,0.371,0.369,0.26
50,2015,Paul Goldschmidt,ARI,159,695,182,0.261870504,0.382,0.234,0.416,0.35,0.054,0.351,0.123,0.465,,0.223,1.23,0.296,0.402,0.303
51,2021,Freddie Freeman,ATL,159,695,180,0.258992806,0.321,0.244,0.43,0.325,0.037,0.277,0.115,0.457,,0.193,1.15,0.376,0.368,0.257
52,2018,Bryce Harper,WSN,159,695,137,0.197122302,0.289,0.222,0.398,0.38,0.034,0.295,0.1,0.451,,0.231,1,0.423,0.295,0.282
53,2016,Jose Abreu,CHW,159,695,183,0.263309353,0.327,0.213,0.455,0.333,0.112,0.327,0.071,0.392,,0.148,0.71,0.36,0.341,0.299
54,2017,Christian Yelich,MIA,156,695,170,0.244604317,0.336,0.194,0.554,0.252,0.025,0.427,0.061,0.453,,0.153,0.61,0.333,0.374,0.293
55,2017,Dee Strange-Gordon,MIA,158,695,201,0.289208633,0.354,0.228,0.576,0.196,0.029,0.392,0.002,0.113,,0.019,0.02,0.3,0.367,0.332
56,2016,Jean Segura,ARI,153,694,203,0.292507205,0.353,0.191,0.531,0.278,0.054,0.31,0.055,0.338,,0.135,0.55,0.314,0.363,0.323
57,2016,Freddie Freeman,ATL,158,693,178,0.256854257,0.37,0.291,0.303,0.405,0.053,0.352,0.13,0.447,,0.199,1.3,0.366,0.336,0.298
58,2019,Pete Alonso,NYM,161,693,155,0.223665224,0.28,0.18,0.405,0.415,0.133,0.369,0.146,0.422,,0.306,1.46,0.458,0.367,0.175
59,2015,Prince Fielder,TEX,158,693,187,0.26984127,0.323,0.183,0.462,0.355,0.053,0.447,0.055,0.443,,0.122,0.55,0.325,0.396,0.279
60,2019,Jose Abreu,CHW,159,693,180,0.25974026,0.32,0.217,0.463,0.319,0.089,0.294,0.12,0.482,,0.21,1.2,0.443,0.297,0.26
61,2017,Giancarlo Stanton,MIA,159,692,168,0.242774566,0.288,0.16,0.446,0.394,0.169,0.4,0.169,0.455,,0.343,1.69,0.446,0.352,0.201
62,2019,Freddie Freeman,ATL,158,692,176,0.25433526,0.318,0.275,0.383,0.341,0.043,0.316,0.117,0.424,,0.236,1.17,0.405,0.309,0.286
