,Season,Name,Team,G,PA,H,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,Pull%,Cent%,Oppo%,Spd,LDFB_EV
724,2016,Yonder Alonso,OAK,156,532,122,0.284,0.225,0.441,0.333,0.074,0.333,0.036,0.371,0.398,0.357,0.245,2.5,0.461
725,2018,Alcides Escobar,KCR,140,531,112,0.263,0.216,0.462,0.322,0.107,0.3,0.017,0.215,0.415,0.341,0.244,5,0.441
726,2015,Carlos Beltran,NYY,133,531,132,0.297,0.216,0.356,0.429,0.076,0.341,0.043,0.419,0.444,0.356,0.201,1.5,0.4655
727,2018,J.T. Realmuto,MIA,125,531,132,0.312,0.228,0.398,0.374,0.106,0.398,0.082,0.406,0.451,0.353,0.196,4.1,0.462
728,2019,Kevin Newman,PIT,130,531,152,0.333,0.221,0.494,0.284,0.074,0.334,0.021,0.247,0.373,0.341,0.286,5.5,0.4395
729,2017,Scott Schebler,CIN,141,531,110,0.248,0.162,0.456,0.382,0.097,0.3,0.099,0.408,0.459,0.337,0.204,3.9,0.478
730,2019,Avisail Garcia,TBR,125,530,138,0.34,0.223,0.46,0.316,0.052,0.341,0.106,0.403,0.422,0.365,0.213,4.4,0.476
731,2019,Jose Iglesias,CIN,146,530,145,0.315,0.237,0.522,0.241,0.095,0.295,0.021,0.233,0.382,0.366,0.252,3.9,0.4365
732,2017,Tommy Pham,STL,128,530,136,0.368,0.222,0.517,0.261,0.07,0.343,0.096,0.434,0.367,0.349,0.283,6,0.473
733,2016,Travis Shaw,BOS,145,530,116,0.299,0.191,0.363,0.446,0.096,0.342,0.074,0.342,0.393,0.339,0.268,4.4,0.464
734,2015,Yadier Molina,STL,136,530,132,0.295,0.203,0.477,0.32,0.114,0.326,0.018,0.255,0.362,0.328,0.31,2.7,0.4495
735,2021,Austin Hays,BAL,131,529,125,0.286,0.183,0.432,0.385,0.129,0.322,0.091,0.39,0.426,0.332,0.242,4.8,0.4645
736,2016,Chase Headley,NYY,140,529,117,0.303,0.238,0.442,0.32,0.062,0.336,0.048,0.331,0.415,0.339,0.246,3.9,0.4505
737,2021,Kyle Farmer,CIN,147,529,127,0.296,0.235,0.412,0.353,0.101,0.36,0.043,0.321,0.393,0.372,0.235,3,0.46
738,2017,Manuel Margot,SDP,126,529,128,0.309,0.232,0.405,0.363,0.094,0.345,0.026,0.288,0.277,0.404,0.319,6.1,0.45
739,2017,Miguel Cabrera,DET,130,529,117,0.292,0.273,0.398,0.329,0.025,0.417,0.097,0.478,0.32,0.365,0.315,1.1,0.477
740,2016,Starling Marte,PIT,129,529,152,0.38,0.233,0.483,0.284,0.065,0.358,0.052,0.368,0.376,0.373,0.251,7.7,0.463
741,2019,Adam Jones,ARI,137,528,126,0.296,0.192,0.431,0.377,0.131,0.313,0.057,0.309,0.439,0.346,0.214,3.2,0.451
742,2021,Michael A. Taylor,KCR,142,528,118,0.319,0.217,0.443,0.34,0.043,0.303,0.066,0.402,0.355,0.39,0.254,4.5,0.4625
743,2018,Miguel Rojas,MIA,153,528,123,0.272,0.238,0.47,0.292,0.146,0.352,0.009,0.237,0.327,0.376,0.296,2.7,0.4355
744,2015,Austin Jackson,- - -,136,527,131,0.342,0.243,0.511,0.246,0.022,0.344,0.035,0.398,0.36,0.379,0.26,5.2,0.46
745,2017,Curtis Granderson,- - -,147,527,95,0.228,0.186,0.326,0.488,0.138,0.331,0.091,0.34,0.486,0.34,0.173,4.8,0.465
