,Name,Team,Age,G,PA,AB,AVG,OBP,SLG,OPS,K%,BB%,BABIP,HR,ISO,HBP,SF,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,LD%,GB%,FB%,Barrel%,HardHit%,HR/FB,Pull%,Cent%,Oppo%,Spd,SweetSpot%,M-Swing%,Meat%,Edge%,LDFB_EV
55,Keston Hiura,MIL,25,68,231,203,0.236,0.325,0.473,0.798,0.416,0.087,0.362,14,0.236,7,1,0.32,0.484,0.719,0.72,0.395,0.671,0.179,0.341,0.574468085,0.25,0.38,0.37,0.157,0.454,0.35,0.444,0.333,0.222,5.6,0.415,0.806,0.064,0.444,0.481
56,Vinnie Pasquantino,KCR,24,50,204,178,0.264,0.353,0.438,0.791,0.132,0.113,0.271,8,0.174,2,1,0.287,0.764,0.689,0.922,0.409,0.588,0.062,0.232,1.152671756,0.172,0.417,0.411,0.105,0.493,0.129,0.408,0.355,0.237,0.5,0.309,0.765,0.072,0.418,0.4615
57,Austin Slater,SFG,29,109,286,240,0.267,0.378,0.396,0.773,0.266,0.136,0.366,5,0.129,5,2,0.281,0.592,0.69,0.783,0.389,0.671,0.128,0.309,0.798029557,0.222,0.537,0.241,0.096,0.398,0.128,0.367,0.398,0.235,6.7,0.428,0.772,0.068,0.413,0.473
58,Taylor Ward,LAA,28,111,467,406,0.261,0.349,0.441,0.79,0.218,0.113,0.303,18,0.18,4,4,0.235,0.637,0.636,0.886,0.415,0.587,0.08,0.284,1.01650165,0.192,0.364,0.445,0.107,0.409,0.131,0.396,0.36,0.244,3.3,0.397,0.758,0.064,0.445,0.4665
59,Ian Happ,CHC,27,134,548,489,0.272,0.345,0.452,0.797,0.237,0.091,0.338,16,0.18,6,3,0.313,0.619,0.733,0.841,0.409,0.558,0.118,0.26,0.813483146,0.202,0.483,0.315,0.072,0.403,0.14,0.445,0.32,0.235,4,0.296,0.83,0.07,0.461,0.4715
60,Anthony Santander,BAL,27,130,554,490,0.253,0.332,0.463,0.795,0.181,0.087,0.264,27,0.21,12,4,0.356,0.713,0.69,0.89,0.382,0.594,0.092,0.255,0.81875,0.201,0.321,0.478,0.109,0.437,0.144,0.434,0.36,0.206,1.6,0.334,0.695,0.07,0.428,0.4715
61,Harold Ramirez,TBR,27,98,353,325,0.32,0.363,0.428,0.79,0.15,0.051,0.365,5,0.108,6,4,0.438,0.629,0.752,0.883,0.4,0.643,0.133,0.262,0.996389892,0.203,0.54,0.257,0.047,0.413,0.07,0.431,0.391,0.178,2.3,0.33,0.797,0.063,0.399,0.459
62,Michael Brantley,HOU,35,64,277,243,0.288,0.37,0.416,0.785,0.108,0.112,0.311,5,0.128,1,1,0.256,0.811,0.629,0.926,0.425,0.599,0.048,0.246,1.380645161,0.243,0.444,0.313,0.06,0.451,0.075,0.372,0.419,0.209,2.5,0.395,0.593,0.081,0.426,0.46
63,George Springer,TOR,32,110,480,424,0.264,0.339,0.455,0.794,0.173,0.092,0.285,19,0.191,6,4,0.295,0.585,0.783,0.818,0.426,0.604,0.131,0.249,1.048632219,0.177,0.455,0.368,0.075,0.409,0.15,0.491,0.279,0.23,6.2,0.308,0.849,0.07,0.412,0.4635
64,C.J. Cron,COL,32,132,560,512,0.266,0.32,0.486,0.807,0.261,0.064,0.318,27,0.221,7,4,0.356,0.662,0.643,0.869,0.42,0.616,0.105,0.286,0.804347826,0.211,0.397,0.392,0.102,0.423,0.186,0.351,0.389,0.259,2.7,0.375,0.769,0.078,0.45,0.4685
65,Dansby Swanson,ATL,28,138,594,542,0.284,0.34,0.448,0.788,0.264,0.076,0.365,19,0.164,3,4,0.307,0.559,0.746,0.798,0.416,0.675,0.142,0.29,0.898383372,0.216,0.37,0.414,0.103,0.463,0.118,0.375,0.355,0.27,5,0.377,0.837,0.081,0.435,0.471
66,Oscar Gonzalez,CLE,24,65,266,253,0.296,0.327,0.474,0.801,0.211,0.038,0.356,7,0.178,2,1,0.479,0.636,0.795,0.848,0.388,0.662,0.153,0.269,0.782608696,0.212,0.5,0.288,0.071,0.429,0.123,0.449,0.348,0.202,1.6,0.326,0.808,0.074,0.421,0.469
67,Ty France,SEA,27,118,517,464,0.278,0.343,0.444,0.787,0.151,0.06,0.298,18,0.166,17,4,0.359,0.676,0.792,0.935,0.384,0.586,0.091,0.216,0.935251799,0.205,0.482,0.313,0.056,0.358,0.148,0.39,0.338,0.272,1,0.349,0.815,0.064,0.412,0.4585
68,Justin Turner,LAD,37,111,461,404,0.277,0.349,0.438,0.787,0.165,0.095,0.311,11,0.161,5,8,0.305,0.727,0.708,0.87,0.405,0.562,0.087,0.24,0.90080429,0.244,0.315,0.44,0.083,0.402,0.074,0.363,0.342,0.295,3,0.404,0.754,0.075,0.445,0.4595
69,Andrew Benintendi,- - -,27,126,521,461,0.304,0.373,0.399,0.772,0.148,0.1,0.352,5,0.095,2,5,0.279,0.734,0.749,0.855,0.431,0.576,0.089,0.22,1.040540541,0.221,0.434,0.345,0.051,0.385,0.038,0.305,0.41,0.285,4.1,0.392,0.826,0.08,0.422,0.46
70,Teoscar Hernandez,TOR,29,109,445,414,0.263,0.315,0.476,0.79,0.294,0.065,0.338,20,0.213,2,0,0.332,0.488,0.704,0.8,0.405,0.582,0.158,0.323,0.98951049,0.212,0.442,0.346,0.134,0.53,0.204,0.442,0.307,0.251,3.7,0.336,0.798,0.071,0.413,0.4905
71,Brandon Nimmo,NYM,29,130,580,504,0.266,0.354,0.421,0.774,0.167,0.095,0.305,13,0.155,15,3,0.258,0.704,0.673,0.88,0.448,0.607,0.078,0.256,0.894273128,0.182,0.498,0.32,0.07,0.392,0.1,0.329,0.392,0.278,4.1,0.282,0.809,0.078,0.438,0.461
72,Eugenio Suarez,SEA,30,137,575,494,0.231,0.332,0.449,0.782,0.313,0.12,0.299,27,0.219,8,4,0.246,0.496,0.659,0.795,0.413,0.607,0.129,0.312,0.866485014,0.198,0.343,0.459,0.138,0.421,0.185,0.456,0.305,0.239,2.1,0.37,0.734,0.078,0.417,0.47
73,Jose Miranda,MIN,24,100,382,353,0.278,0.33,0.453,0.783,0.202,0.052,0.319,14,0.176,8,1,0.364,0.628,0.73,0.886,0.399,0.623,0.115,0.265,0.938983051,0.199,0.419,0.383,0.065,0.44,0.132,0.462,0.31,0.227,1.6,0.337,0.822,0.075,0.398,0.4715
74,Ronald Acuna Jr.,ATL,24,99,448,389,0.272,0.362,0.409,0.77,0.234,0.105,0.344,11,0.136,9,3,0.276,0.664,0.762,0.823,0.399,0.585,0.11,0.249,0.767379679,0.178,0.491,0.331,0.129,0.516,0.116,0.449,0.369,0.181,4.9,0.327,0.827,0.073,0.425,0.4805
75,Bo Bichette,TOR,24,135,592,554,0.276,0.319,0.468,0.787,0.236,0.059,0.331,23,0.191,1,2,0.39,0.654,0.799,0.882,0.416,0.664,0.118,0.233,0.790874525,0.204,0.457,0.339,0.101,0.502,0.163,0.296,0.385,0.32,3.8,0.342,0.852,0.076,0.426,0.475
76,Bryan Reynolds,PIT,27,121,506,449,0.256,0.336,0.448,0.784,0.229,0.093,0.299,21,0.192,8,2,0.354,0.549,0.742,0.878,0.389,0.619,0.133,0.269,0.905405405,0.209,0.439,0.352,0.066,0.412,0.178,0.391,0.361,0.248,4.4,0.345,0.829,0.069,0.439,0.461
77,Daniel Vogelbach,- - -,29,114,407,343,0.227,0.346,0.423,0.769,0.248,0.152,0.273,16,0.195,1,1,0.224,0.695,0.468,0.899,0.401,0.518,0.06,0.324,1,0.202,0.366,0.432,0.103,0.42,0.152,0.403,0.358,0.239,1.5,0.376,0.442,0.07,0.431,0.468
78,Andrew Vaughn,CHW,24,114,481,442,0.283,0.333,0.448,0.781,0.16,0.054,0.311,15,0.165,9,4,0.353,0.714,0.624,0.907,0.417,0.626,0.083,0.288,1.128440367,0.182,0.485,0.333,0.079,0.496,0.122,0.352,0.385,0.263,1.9,0.34,0.658,0.067,0.446,0.475
79,Francisco Lindor,NYM,28,138,604,533,0.265,0.341,0.435,0.776,0.187,0.093,0.296,21,0.171,9,6,0.327,0.678,0.683,0.881,0.393,0.57,0.096,0.252,0.874485597,0.172,0.428,0.4,0.082,0.411,0.124,0.43,0.326,0.244,5.5,0.289,0.775,0.066,0.43,0.467
80,Matt Chapman,TOR,29,131,523,460,0.237,0.323,0.454,0.777,0.275,0.101,0.288,24,0.217,7,3,0.234,0.601,0.678,0.805,0.423,0.572,0.11,0.297,0.871584699,0.185,0.329,0.486,0.138,0.524,0.155,0.464,0.348,0.188,3,0.356,0.772,0.083,0.427,0.4815
81,J.D. Martinez,BOS,34,118,512,456,0.274,0.344,0.428,0.771,0.24,0.09,0.349,11,0.154,5,5,0.346,0.572,0.777,0.805,0.394,0.637,0.149,0.269,0.795294118,0.24,0.379,0.382,0.121,0.42,0.085,0.32,0.385,0.296,1.5,0.424,0.9,0.063,0.412,0.4715
82,Sean Murphy,OAK,27,127,522,459,0.253,0.332,0.442,0.774,0.199,0.088,0.287,18,0.19,11,5,0.348,0.68,0.719,0.859,0.4,0.636,0.107,0.256,0.86746988,0.197,0.417,0.386,0.114,0.421,0.129,0.408,0.358,0.233,2.5,0.342,0.799,0.078,0.449,0.478
83,Kyle Schwarber,PHI,29,132,567,496,0.212,0.307,0.476,0.783,0.312,0.116,0.242,36,0.264,3,2,0.248,0.572,0.616,0.801,0.417,0.6,0.113,0.315,0.819587629,0.16,0.34,0.5,0.199,0.539,0.226,0.43,0.386,0.184,4.6,0.347,0.686,0.065,0.438,0.4985
