,Name,Team,Age,G,PA,AB,AVG,OBP,SLG,OPS,K%,BB%,BABIP,HR,ISO,HBP,SF,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,LD%,GB%,FB%,Barrel%,HardHit%,HR/FB,Pull%,Cent%,Oppo%,Spd,SweetSpot%,M-Swing%,Meat%,Edge%,LDFB_EV
170,Wander Franco,TBR,21,59,252,232,0.267,0.313,0.409,0.723,0.103,0.067,0.279,5,0.142,0,3,0.373,0.802,0.769,0.937,0.399,0.603,0.064,0.186,1.039800995,0.239,0.464,0.297,0.043,0.383,0.081,0.392,0.335,0.273,6.2,0.338,0.875,0.065,0.449,0.462
171,Eric Hosmer,- - -,32,102,414,375,0.267,0.333,0.381,0.715,0.155,0.089,0.303,8,0.115,1,1,0.37,0.714,0.677,0.933,0.385,0.577,0.083,0.238,0.928571429,0.179,0.564,0.256,0.058,0.394,0.1,0.391,0.346,0.263,1,0.295,0.681,0.071,0.413,0.4565
172,Bobby Witt Jr.,KCR,22,128,537,499,0.246,0.291,0.437,0.727,0.216,0.05,0.28,20,0.19,6,5,0.373,0.667,0.736,0.857,0.403,0.624,0.117,0.27,0.948655257,0.175,0.353,0.472,0.088,0.394,0.109,0.353,0.397,0.25,7.6,0.336,0.781,0.074,0.43,0.4625
173,Ryan Mountcastle,BAL,25,123,519,478,0.245,0.293,0.431,0.724,0.249,0.064,0.287,21,0.186,2,6,0.424,0.62,0.825,0.808,0.378,0.645,0.16,0.259,0.753715499,0.214,0.375,0.411,0.138,0.454,0.144,0.335,0.363,0.301,2.8,0.384,0.915,0.066,0.416,0.472
174,Jonah Heim,TEX,27,110,399,356,0.23,0.308,0.402,0.71,0.19,0.1,0.257,13,0.171,1,2,0.316,0.684,0.767,0.879,0.411,0.639,0.097,0.23,0.798295455,0.167,0.384,0.448,0.064,0.401,0.103,0.514,0.319,0.167,3.4,0.288,0.791,0.071,0.429,0.461
175,Oneil Cruz,PIT,23,65,260,243,0.226,0.273,0.457,0.73,0.369,0.062,0.311,13,0.23,0,1,0.354,0.484,0.54,0.829,0.393,0.562,0.147,0.366,1.080291971,0.189,0.486,0.324,0.149,0.446,0.271,0.453,0.324,0.223,6.2,0.303,0.651,0.063,0.462,0.487
176,Ramon Urias,BAL,28,106,402,366,0.249,0.301,0.415,0.716,0.219,0.062,0.285,15,0.167,4,4,0.346,0.653,0.732,0.807,0.413,0.669,0.129,0.285,1.02919708,0.181,0.475,0.344,0.091,0.474,0.155,0.414,0.333,0.253,2.2,0.322,0.827,0.075,0.426,0.47
177,Marcus Semien,TEX,31,136,613,554,0.242,0.3,0.415,0.715,0.162,0.077,0.255,21,0.173,3,9,0.289,0.646,0.754,0.905,0.393,0.602,0.09,0.246,1.071593533,0.183,0.343,0.474,0.06,0.33,0.095,0.457,0.315,0.228,6.4,0.312,0.819,0.071,0.441,0.456
178,Ben Gamel,PIT,30,98,369,326,0.236,0.322,0.377,0.7,0.23,0.106,0.295,8,0.141,3,1,0.291,0.588,0.653,0.894,0.409,0.577,0.099,0.268,0.894736842,0.227,0.424,0.349,0.062,0.38,0.096,0.393,0.364,0.244,4.7,0.377,0.704,0.074,0.45,0.458
179,Joey Votto,CIN,38,91,376,322,0.205,0.319,0.37,0.689,0.258,0.117,0.257,11,0.165,10,0,0.288,0.609,0.713,0.799,0.417,0.577,0.126,0.266,0.786713287,0.182,0.444,0.373,0.111,0.409,0.131,0.4,0.36,0.24,1.5,0.329,0.843,0.077,0.425,0.479
180,Dylan Carlson,STL,23,112,431,383,0.24,0.316,0.386,0.702,0.193,0.088,0.284,8,0.146,6,4,0.275,0.638,0.708,0.829,0.417,0.557,0.109,0.274,1.020338983,0.203,0.442,0.355,0.046,0.266,0.075,0.368,0.388,0.243,5.3,0.352,0.826,0.077,0.451,0.4555
181,Andrew McCutchen,MIL,35,117,506,455,0.244,0.312,0.389,0.701,0.198,0.087,0.279,15,0.145,3,4,0.253,0.619,0.721,0.867,0.435,0.581,0.096,0.258,0.962466488,0.192,0.421,0.387,0.078,0.398,0.108,0.44,0.368,0.192,3.3,0.35,0.804,0.081,0.453,0.4665
182,Elvis Andrus,- - -,33,126,474,438,0.249,0.306,0.397,0.703,0.16,0.072,0.277,12,0.148,2,0,0.328,0.711,0.636,0.876,0.411,0.612,0.088,0.275,1.139240506,0.172,0.45,0.378,0.039,0.337,0.088,0.384,0.345,0.271,3.7,0.289,0.653,0.082,0.425,0.4535
183,Mitch Garver,TEX,31,54,215,188,0.207,0.298,0.404,0.702,0.247,0.107,0.228,10,0.197,2,2,0.271,0.685,0.624,0.829,0.428,0.591,0.094,0.294,0.796511628,0.168,0.343,0.489,0.088,0.387,0.149,0.584,0.219,0.197,2,0.372,0.696,0.084,0.417,0.459
184,Tyrone Taylor,MIL,28,102,349,322,0.224,0.278,0.435,0.713,0.261,0.054,0.258,16,0.211,6,2,0.361,0.594,0.698,0.857,0.424,0.63,0.127,0.291,0.862453532,0.181,0.371,0.448,0.099,0.378,0.154,0.412,0.391,0.197,4.3,0.358,0.77,0.066,0.422,0.4665
185,Joey Bart,SFG,25,78,236,211,0.223,0.305,0.389,0.694,0.373,0.089,0.327,10,0.166,4,0,0.343,0.486,0.665,0.756,0.421,0.665,0.17,0.346,0.742331288,0.231,0.421,0.347,0.089,0.439,0.238,0.569,0.203,0.228,2.7,0.355,0.667,0.072,0.438,0.4625
186,Nick Castellanos,PHI,30,128,531,499,0.265,0.305,0.397,0.702,0.234,0.051,0.327,13,0.132,3,2,0.442,0.551,0.783,0.836,0.392,0.68,0.171,0.277,0.908433735,0.202,0.416,0.382,0.066,0.347,0.09,0.371,0.318,0.31,3.4,0.369,0.844,0.065,0.423,0.4615
187,J.P. Crawford,SEA,27,124,519,454,0.253,0.335,0.35,0.685,0.129,0.1,0.282,6,0.097,6,5,0.254,0.769,0.634,0.934,0.435,0.561,0.051,0.234,1.034574468,0.239,0.44,0.321,0.02,0.282,0.048,0.36,0.373,0.266,3.2,0.332,0.748,0.067,0.437,0.4445
188,Riley Greene,DET,21,70,317,290,0.255,0.315,0.379,0.695,0.293,0.076,0.358,5,0.124,2,1,0.322,0.634,0.635,0.87,0.409,0.621,0.103,0.293,0.808163265,0.207,0.551,0.242,0.086,0.455,0.104,0.328,0.379,0.293,4.8,0.337,0.761,0.07,0.41,0.4725
189,Amed Rosario,CLE,26,129,561,532,0.278,0.31,0.391,0.701,0.168,0.041,0.323,8,0.113,3,3,0.416,0.739,0.675,0.888,0.41,0.638,0.095,0.268,1.037647059,0.193,0.533,0.274,0.043,0.381,0.066,0.349,0.397,0.254,6.6,0.297,0.684,0.075,0.426,0.462
190,Gleyber Torres,NYY,25,123,495,457,0.236,0.289,0.414,0.703,0.228,0.065,0.272,19,0.177,3,2,0.313,0.618,0.748,0.821,0.417,0.638,0.126,0.268,0.93495935,0.18,0.348,0.472,0.092,0.435,0.117,0.369,0.334,0.297,4,0.362,0.755,0.075,0.408,0.471
191,Carlos Santana,- - -,36,108,415,349,0.198,0.32,0.361,0.682,0.154,0.149,0.201,14,0.163,2,2,0.248,0.732,0.666,0.867,0.418,0.578,0.076,0.254,0.940789474,0.164,0.388,0.448,0.08,0.439,0.109,0.488,0.331,0.181,0.9,0.31,0.786,0.075,0.436,0.4665
192,Jorge Soler,MIA,30,72,306,270,0.207,0.295,0.4,0.695,0.294,0.101,0.256,13,0.193,3,1,0.294,0.556,0.709,0.809,0.399,0.572,0.132,0.281,0.76371308,0.177,0.42,0.403,0.121,0.434,0.178,0.503,0.337,0.16,1.6,0.331,0.831,0.065,0.426,0.4865
193,Mike Yastrzemski,SFG,31,126,469,404,0.21,0.311,0.374,0.685,0.249,0.119,0.262,12,0.163,5,4,0.244,0.61,0.63,0.882,0.431,0.595,0.086,0.276,0.79501385,0.174,0.366,0.46,0.11,0.402,0.091,0.454,0.316,0.23,4.7,0.349,0.69,0.072,0.43,0.466
194,Franchy Cordero,BOS,27,84,275,242,0.219,0.3,0.397,0.697,0.335,0.102,0.313,8,0.178,1,2,0.332,0.493,0.716,0.776,0.401,0.607,0.165,0.311,0.75,0.227,0.387,0.387,0.123,0.455,0.138,0.416,0.325,0.26,5.1,0.39,0.776,0.07,0.416,0.4745
195,Santiago Espinal,TOR,27,124,462,422,0.263,0.319,0.37,0.689,0.143,0.074,0.295,7,0.107,2,3,0.292,0.759,0.684,0.91,0.424,0.597,0.066,0.244,1.02,0.232,0.431,0.336,0.036,0.311,0.058,0.414,0.35,0.236,2.8,0.353,0.746,0.077,0.419,0.443
196,Tyler O'Neill,STL,27,90,363,317,0.227,0.306,0.385,0.691,0.264,0.096,0.274,13,0.158,4,7,0.301,0.558,0.707,0.823,0.414,0.595,0.13,0.288,0.8113879,0.206,0.421,0.373,0.114,0.425,0.153,0.478,0.298,0.224,5.6,0.379,0.748,0.075,0.417,0.48
197,Luis Gonzalez,SFG,26,88,319,282,0.252,0.323,0.365,0.688,0.201,0.088,0.306,4,0.113,4,5,0.277,0.623,0.681,0.872,0.452,0.561,0.097,0.259,0.761732852,0.175,0.45,0.374,0.027,0.332,0.051,0.296,0.332,0.372,5.4,0.269,0.86,0.085,0.428,0.4575
198,Brandon Belt,SFG,34,78,298,254,0.213,0.326,0.35,0.676,0.272,0.124,0.277,8,0.138,6,1,0.249,0.542,0.779,0.793,0.405,0.587,0.133,0.265,0.740088106,0.226,0.274,0.5,0.126,0.385,0.095,0.374,0.339,0.287,2.9,0.385,0.899,0.066,0.417,0.465
199,Elias Diaz,COL,31,89,323,296,0.236,0.294,0.399,0.693,0.204,0.071,0.274,9,0.162,2,2,0.366,0.669,0.74,0.91,0.388,0.622,0.1,0.234,0.834532374,0.159,0.491,0.349,0.056,0.401,0.111,0.358,0.366,0.276,2.2,0.282,0.815,0.075,0.411,0.4645
200,Jack Suwinski,PIT,23,81,285,254,0.201,0.288,0.402,0.689,0.302,0.095,0.24,14,0.201,4,0,0.28,0.549,0.635,0.831,0.45,0.607,0.117,0.314,0.785046729,0.155,0.411,0.435,0.107,0.387,0.192,0.446,0.315,0.238,2.6,0.271,0.747,0.075,0.448,0.472
201,Josh Donaldson,NYY,36,112,457,400,0.22,0.309,0.375,0.684,0.276,0.103,0.286,12,0.155,6,4,0.321,0.601,0.691,0.756,0.409,0.624,0.145,0.303,0.863354037,0.191,0.424,0.385,0.101,0.432,0.112,0.482,0.356,0.162,2.1,0.353,0.782,0.068,0.44,0.477
202,Max Kepler,MIN,29,113,440,382,0.23,0.323,0.353,0.676,0.148,0.111,0.253,9,0.123,5,4,0.273,0.663,0.717,0.91,0.418,0.58,0.08,0.229,1.073578595,0.199,0.455,0.346,0.072,0.396,0.081,0.449,0.336,0.215,3.4,0.322,0.84,0.076,0.44,0.4635
203,Harold Castro,DET,28,103,380,358,0.274,0.305,0.388,0.693,0.182,0.042,0.323,6,0.115,1,2,0.42,0.729,0.691,0.89,0.413,0.613,0.098,0.247,0.873493976,0.272,0.421,0.307,0.061,0.34,0.067,0.34,0.323,0.337,2.4,0.449,0.724,0.073,0.433,0.462
204,Jeremy Pena,HOU,24,114,469,437,0.249,0.285,0.41,0.695,0.252,0.041,0.3,17,0.16,5,5,0.405,0.52,0.758,0.867,0.389,0.701,0.158,0.295,0.981595092,0.191,0.478,0.331,0.086,0.349,0.16,0.481,0.287,0.231,4.7,0.313,0.814,0.068,0.42,0.467
205,Ozzie Albies,ATL,25,62,263,242,0.244,0.289,0.405,0.694,0.175,0.057,0.266,8,0.161,2,4,0.456,0.708,0.839,0.861,0.341,0.658,0.128,0.218,0.769230769,0.185,0.375,0.44,0.055,0.265,0.091,0.485,0.35,0.165,3.3,0.355,0.921,0.063,0.398,0.459
206,Jose Trevino,NYY,29,101,307,291,0.254,0.29,0.399,0.689,0.169,0.042,0.278,10,0.144,2,1,0.424,0.726,0.624,0.893,0.395,0.632,0.097,0.296,1.160194175,0.176,0.414,0.41,0.05,0.358,0.102,0.392,0.354,0.254,3.8,0.287,0.632,0.069,0.425,0.4575
207,Kevin Newman,PIT,28,62,250,235,0.272,0.312,0.37,0.682,0.176,0.048,0.33,1,0.098,2,1,0.356,0.772,0.646,0.932,0.415,0.676,0.066,0.265,1.098265896,0.258,0.426,0.316,0.021,0.271,0.017,0.427,0.365,0.208,5.5,0.318,0.688,0.087,0.462,0.4415
208,Brian Anderson,MIA,29,78,300,262,0.225,0.32,0.351,0.671,0.28,0.11,0.306,6,0.126,4,1,0.318,0.588,0.758,0.788,0.415,0.613,0.143,0.283,0.691119691,0.196,0.514,0.291,0.095,0.447,0.115,0.408,0.363,0.229,3.5,0.313,0.8,0.074,0.419,0.482
209,Chris Taylor,LAD,31,100,386,339,0.218,0.306,0.375,0.68,0.36,0.104,0.338,8,0.156,4,3,0.266,0.388,0.796,0.72,0.438,0.63,0.189,0.311,0.618461538,0.269,0.318,0.413,0.108,0.394,0.096,0.473,0.291,0.236,6,0.387,0.911,0.08,0.443,0.4605
210,Keibert Ruiz,WSN,23,112,433,394,0.251,0.313,0.36,0.673,0.115,0.069,0.271,7,0.109,6,2,0.366,0.783,0.722,0.924,0.402,0.61,0.07,0.212,1.048484848,0.228,0.402,0.37,0.037,0.323,0.055,0.496,0.337,0.167,3,0.363,0.685,0.072,0.416,0.4535
211,Gary Sanchez,MIN,29,105,388,351,0.217,0.286,0.396,0.682,0.286,0.08,0.272,14,0.179,4,2,0.333,0.573,0.611,0.851,0.405,0.588,0.121,0.32,0.930769231,0.14,0.442,0.417,0.145,0.463,0.139,0.504,0.281,0.215,2.5,0.303,0.662,0.093,0.407,0.476
212,Ramon Laureano,OAK,27,88,359,324,0.216,0.292,0.38,0.672,0.267,0.07,0.269,12,0.164,10,0,0.316,0.55,0.64,0.836,0.425,0.621,0.126,0.318,0.94214876,0.167,0.443,0.39,0.114,0.386,0.135,0.434,0.298,0.268,4.5,0.267,0.696,0.088,0.438,0.469
213,Francisco Mejia,TBR,26,79,255,248,0.262,0.278,0.411,0.69,0.224,0.02,0.317,6,0.149,1,1,0.53,0.685,0.734,0.864,0.391,0.667,0.141,0.278,0.796680498,0.25,0.391,0.359,0.031,0.286,0.087,0.453,0.344,0.203,2,0.401,0.73,0.068,0.411,0.4415
214,Darin Ruf,- - -,35,110,364,313,0.208,0.31,0.351,0.662,0.269,0.118,0.261,11,0.144,5,3,0.264,0.597,0.587,0.851,0.427,0.599,0.098,0.322,0.882591093,0.179,0.408,0.413,0.092,0.413,0.122,0.491,0.266,0.243,3.6,0.352,0.712,0.077,0.432,0.4715
215,Josh Harrison,CHW,34,104,371,337,0.246,0.309,0.359,0.668,0.164,0.051,0.284,6,0.113,12,1,0.392,0.727,0.748,0.873,0.431,0.59,0.102,0.238,0.868338558,0.17,0.44,0.39,0.036,0.301,0.056,0.358,0.376,0.265,3.6,0.312,0.752,0.084,0.439,0.448
216,A.J. Pollock,CHW,34,117,447,413,0.242,0.293,0.385,0.678,0.188,0.065,0.277,11,0.143,2,3,0.382,0.621,0.764,0.874,0.41,0.647,0.125,0.253,1.040880503,0.196,0.429,0.375,0.096,0.419,0.089,0.437,0.31,0.253,2.8,0.338,0.814,0.076,0.42,0.473
217,Hunter Dozier,KCR,30,115,449,414,0.237,0.294,0.382,0.676,0.243,0.069,0.297,10,0.145,3,1,0.361,0.531,0.727,0.88,0.387,0.637,0.138,0.276,0.918674699,0.207,0.43,0.364,0.072,0.369,0.09,0.441,0.327,0.232,3.9,0.33,0.804,0.065,0.415,0.4635
218,Eduardo Escobar,NYM,33,114,450,412,0.231,0.282,0.408,0.69,0.236,0.069,0.269,15,0.177,1,6,0.375,0.655,0.753,0.844,0.392,0.629,0.125,0.269,0.804123711,0.228,0.298,0.474,0.083,0.362,0.101,0.433,0.349,0.218,2.9,0.373,0.776,0.061,0.423,0.46
219,Harrison Bader,STL,28,72,264,246,0.256,0.303,0.37,0.673,0.178,0.049,0.297,5,0.114,4,1,0.368,0.693,0.634,0.903,0.387,0.576,0.093,0.266,1.098901099,0.165,0.395,0.44,0.04,0.265,0.057,0.4,0.39,0.21,7.7,0.285,0.612,0.066,0.407,0.441
220,Nelson Cruz,WSN,41,121,495,437,0.238,0.318,0.343,0.662,0.232,0.099,0.298,10,0.105,4,3,0.347,0.576,0.75,0.8,0.39,0.61,0.148,0.274,0.868983957,0.191,0.526,0.283,0.095,0.462,0.109,0.354,0.36,0.286,3.1,0.283,0.805,0.06,0.441,0.4705
221,Victor Caratini,MIL,28,83,270,233,0.202,0.307,0.352,0.659,0.211,0.1,0.226,9,0.15,9,1,0.263,0.625,0.638,0.913,0.434,0.581,0.08,0.275,0.907692308,0.192,0.514,0.294,0.073,0.429,0.173,0.367,0.373,0.26,0.9,0.297,0.7,0.075,0.445,0.467
222,Rafael Ortega,CHC,31,114,360,305,0.23,0.324,0.341,0.665,0.203,0.122,0.275,6,0.111,2,7,0.288,0.695,0.685,0.89,0.396,0.592,0.083,0.246,0.797979798,0.207,0.333,0.46,0.046,0.332,0.055,0.413,0.338,0.25,4.1,0.367,0.779,0.071,0.427,0.45
223,Adam Duvall,ATL,33,86,315,287,0.213,0.276,0.401,0.677,0.321,0.067,0.278,12,0.188,5,2,0.392,0.627,0.676,0.805,0.399,0.603,0.14,0.299,0.73151751,0.186,0.293,0.521,0.128,0.404,0.122,0.495,0.319,0.186,3.2,0.362,0.744,0.074,0.422,0.4675
224,Ryan Jeffers,MIN,25,60,214,192,0.214,0.291,0.375,0.666,0.271,0.098,0.268,7,0.161,0,0,0.294,0.687,0.685,0.848,0.429,0.668,0.097,0.273,0.715053763,0.195,0.346,0.459,0.148,0.437,0.115,0.437,0.304,0.259,1.3,0.385,0.8,0.074,0.423,0.47
225,Ke'Bryan Hayes,PIT,25,115,477,432,0.243,0.312,0.345,0.657,0.226,0.086,0.31,6,0.102,3,1,0.292,0.646,0.63,0.92,0.394,0.585,0.083,0.278,0.978915663,0.206,0.489,0.305,0.037,0.474,0.061,0.286,0.403,0.311,5.2,0.3,0.723,0.068,0.413,0.4665
226,Jorge Alfaro,SDP,29,74,262,245,0.249,0.286,0.388,0.674,0.351,0.038,0.362,7,0.139,4,3,0.49,0.534,0.826,0.767,0.404,0.695,0.213,0.312,0.655462185,0.244,0.462,0.295,0.115,0.385,0.152,0.346,0.378,0.276,2.5,0.392,0.852,0.065,0.441,0.4755
227,Bryson Stott,PHI,24,104,379,350,0.237,0.296,0.369,0.664,0.179,0.074,0.271,9,0.131,1,0,0.293,0.815,0.628,0.9,0.445,0.594,0.058,0.265,0.909090909,0.171,0.45,0.379,0.046,0.372,0.085,0.355,0.323,0.323,5.1,0.3,0.739,0.078,0.451,0.454
228,Christian Bethancourt,- - -,30,85,282,268,0.239,0.274,0.399,0.673,0.23,0.039,0.28,10,0.16,2,0,0.468,0.573,0.828,0.792,0.416,0.66,0.188,0.281,0.971014493,0.184,0.453,0.363,0.127,0.446,0.137,0.426,0.353,0.221,4.4,0.325,0.892,0.069,0.427,0.479
229,Trent Grisham,SDP,25,134,486,414,0.191,0.296,0.36,0.656,0.263,0.117,0.229,17,0.169,6,2,0.226,0.659,0.583,0.83,0.421,0.58,0.086,0.3,0.86163522,0.128,0.438,0.434,0.085,0.342,0.143,0.454,0.288,0.258,4.8,0.253,0.637,0.079,0.448,0.4695
230,Victor Reyes,DET,27,76,276,259,0.27,0.304,0.363,0.667,0.228,0.043,0.348,1,0.093,2,3,0.453,0.719,0.701,0.785,0.397,0.58,0.137,0.276,0.820833333,0.244,0.452,0.305,0.045,0.382,0.017,0.409,0.303,0.288,3.3,0.362,0.789,0.067,0.446,0.4555
231,Matt Reynolds,- - -,31,77,229,207,0.246,0.314,0.338,0.653,0.293,0.087,0.348,3,0.092,1,1,0.264,0.517,0.631,0.876,0.403,0.598,0.107,0.33,1.014388489,0.227,0.518,0.255,0.035,0.433,0.083,0.27,0.433,0.298,5.9,0.362,0.583,0.079,0.407,0.4625
232,Alek Thomas,ARI,22,103,380,350,0.249,0.295,0.371,0.666,0.182,0.058,0.284,8,0.123,3,5,0.355,0.643,0.634,0.852,0.45,0.642,0.112,0.298,1.294117647,0.182,0.577,0.241,0.042,0.353,0.116,0.357,0.353,0.29,3.7,0.286,0.74,0.07,0.425,0.4615
233,Michael Chavis,PIT,26,115,377,357,0.238,0.268,0.412,0.68,0.302,0.037,0.305,14,0.174,2,4,0.437,0.564,0.792,0.829,0.409,0.703,0.168,0.283,0.78343949,0.175,0.427,0.398,0.085,0.401,0.143,0.429,0.364,0.206,3.5,0.347,0.842,0.076,0.431,0.464
234,Joey Gallo,- - -,28,108,352,301,0.166,0.287,0.362,0.649,0.392,0.136,0.231,16,0.196,3,0,0.314,0.412,0.712,0.735,0.404,0.619,0.186,0.324,0.620689655,0.191,0.278,0.531,0.184,0.515,0.186,0.564,0.252,0.184,4.8,0.296,0.822,0.074,0.443,0.4865
235,Jorge Mateo,BAL,27,127,455,421,0.226,0.275,0.394,0.669,0.277,0.053,0.292,12,0.169,5,1,0.394,0.556,0.723,0.835,0.406,0.679,0.152,0.298,0.862170088,0.211,0.378,0.412,0.063,0.317,0.099,0.362,0.366,0.272,8.6,0.369,0.772,0.075,0.408,0.4555
236,Marcell Ozuna,ATL,31,114,471,436,0.22,0.27,0.399,0.669,0.236,0.062,0.244,21,0.179,2,4,0.361,0.58,0.702,0.863,0.391,0.631,0.13,0.284,0.934659091,0.182,0.383,0.435,0.131,0.435,0.147,0.438,0.35,0.213,2.5,0.307,0.813,0.061,0.39,0.4745
237,Carson Kelly,ARI,27,83,284,251,0.219,0.303,0.347,0.649,0.187,0.095,0.253,6,0.127,4,2,0.292,0.697,0.641,0.888,0.411,0.581,0.082,0.277,0.966183575,0.2,0.4,0.4,0.06,0.35,0.075,0.395,0.4,0.205,2.9,0.328,0.718,0.075,0.447,0.453
238,Alfonso Rivas,CHC,25,81,228,200,0.24,0.325,0.32,0.645,0.32,0.105,0.357,3,0.08,2,2,0.272,0.568,0.612,0.863,0.426,0.61,0.103,0.318,0.742690058,0.276,0.52,0.205,0.047,0.388,0.115,0.364,0.349,0.287,4.7,0.352,0.794,0.067,0.423,0.4585
239,Brandon Crawford,SFG,35,99,379,337,0.226,0.306,0.347,0.653,0.216,0.084,0.273,8,0.122,8,2,0.304,0.522,0.771,0.781,0.431,0.615,0.155,0.276,1.066666667,0.168,0.453,0.379,0.074,0.319,0.082,0.366,0.377,0.257,3.4,0.304,0.841,0.075,0.414,0.4595
240,Isiah Kiner-Falefa,NYY,27,124,460,421,0.268,0.317,0.335,0.652,0.139,0.059,0.306,3,0.067,5,5,0.333,0.811,0.605,0.955,0.442,0.637,0.047,0.258,1.108359133,0.212,0.531,0.257,0.011,0.294,0.033,0.363,0.346,0.291,5.2,0.297,0.695,0.091,0.44,0.449
241,Franmil Reyes,- - -,26,99,400,374,0.233,0.275,0.388,0.663,0.338,0.055,0.323,13,0.155,1,3,0.337,0.47,0.702,0.788,0.41,0.613,0.166,0.325,0.923664122,0.178,0.467,0.355,0.124,0.459,0.151,0.442,0.285,0.273,3.7,0.287,0.757,0.069,0.426,0.482
242,Pavin Smith,ARI,26,65,241,213,0.207,0.29,0.362,0.652,0.261,0.104,0.245,9,0.155,1,2,0.255,0.671,0.584,0.888,0.406,0.593,0.076,0.303,0.980645161,0.125,0.428,0.447,0.118,0.368,0.132,0.401,0.355,0.243,1.9,0.276,0.658,0.074,0.454,0.4545
243,Jesus Sanchez,MIA,24,93,325,297,0.205,0.271,0.387,0.658,0.265,0.074,0.245,12,0.182,3,1,0.36,0.601,0.67,0.853,0.384,0.603,0.126,0.279,0.82421875,0.156,0.469,0.374,0.094,0.401,0.152,0.429,0.307,0.264,4.4,0.245,0.8,0.076,0.426,0.476
244,Jesus Aguilar,- - -,32,117,468,427,0.232,0.281,0.379,0.66,0.235,0.058,0.274,15,0.148,4,5,0.386,0.642,0.651,0.841,0.385,0.611,0.125,0.302,0.849604222,0.236,0.311,0.453,0.07,0.358,0.103,0.376,0.37,0.255,1.6,0.398,0.667,0.064,0.432,0.4545
245,Cesar Hernandez,WSN,32,132,565,512,0.252,0.315,0.326,0.641,0.181,0.073,0.311,1,0.074,7,2,0.293,0.665,0.708,0.89,0.419,0.644,0.09,0.246,0.980487805,0.234,0.46,0.306,0.024,0.294,0.008,0.349,0.333,0.318,5,0.345,0.789,0.071,0.454,0.44
246,Wil Myers,SDP,31,60,228,209,0.249,0.298,0.359,0.657,0.298,0.066,0.343,4,0.11,1,3,0.31,0.54,0.645,0.795,0.424,0.601,0.138,0.322,0.986111111,0.218,0.401,0.38,0.049,0.361,0.074,0.41,0.278,0.313,2.3,0.387,0.75,0.08,0.435,0.455
247,Omar Narvaez,MIL,30,70,250,220,0.218,0.308,0.332,0.64,0.196,0.104,0.262,4,0.114,3,1,0.315,0.726,0.763,0.838,0.406,0.576,0.101,0.222,0.74025974,0.205,0.345,0.45,0.029,0.198,0.052,0.413,0.308,0.279,1.9,0.366,0.789,0.07,0.438,0.434
248,Raimel Tapia,TOR,28,105,350,331,0.263,0.29,0.366,0.655,0.183,0.037,0.312,5,0.103,0,1,0.451,0.732,0.707,0.883,0.401,0.6,0.105,0.25,0.887417219,0.201,0.526,0.272,0.051,0.377,0.068,0.336,0.384,0.28,4.4,0.29,0.735,0.066,0.442,0.455
249,Kevin Kiermaier,TBR,32,63,221,206,0.228,0.281,0.369,0.649,0.276,0.063,0.29,7,0.141,1,0,0.328,0.471,0.751,0.843,0.439,0.647,0.149,0.278,0.917721519,0.2,0.524,0.276,0.069,0.386,0.175,0.331,0.338,0.331,4.9,0.338,0.797,0.071,0.44,0.4555
250,Mike Moustakas,CIN,33,78,285,252,0.214,0.295,0.345,0.64,0.263,0.084,0.272,7,0.131,6,3,0.409,0.592,0.756,0.839,0.385,0.568,0.15,0.256,0.661764706,0.15,0.35,0.5,0.061,0.339,0.078,0.444,0.35,0.206,3.3,0.361,0.824,0.059,0.461,0.452
251,Jarren Duran,BOS,25,57,219,200,0.22,0.283,0.365,0.648,0.288,0.064,0.304,3,0.145,4,1,0.342,0.559,0.711,0.877,0.425,0.607,0.124,0.278,0.6875,0.159,0.5,0.341,0.08,0.384,0.067,0.355,0.37,0.275,7.6,0.283,0.921,0.073,0.448,0.472
252,Yuli Gurriel,HOU,38,125,500,463,0.238,0.288,0.359,0.647,0.128,0.056,0.261,7,0.121,6,3,0.371,0.785,0.647,0.935,0.391,0.632,0.065,0.254,1.13559322,0.179,0.403,0.418,0.02,0.351,0.042,0.333,0.378,0.289,4.1,0.308,0.766,0.068,0.466,0.453
253,Aaron Hicks,NYY,32,115,403,341,0.211,0.326,0.296,0.622,0.228,0.139,0.269,6,0.085,3,2,0.229,0.571,0.653,0.836,0.424,0.548,0.102,0.29,0.849829352,0.161,0.442,0.398,0.048,0.333,0.061,0.472,0.262,0.266,4.9,0.238,0.744,0.073,0.438,0.459
254,Austin Nola,SDP,32,93,343,298,0.245,0.321,0.312,0.633,0.157,0.093,0.281,3,0.067,5,8,0.244,0.763,0.626,0.916,0.449,0.586,0.056,0.258,1.135135135,0.206,0.437,0.357,0.024,0.389,0.033,0.437,0.333,0.23,2.6,0.357,0.66,0.076,0.45,0.457
255,Bobby Dalbec,BOS,27,111,340,304,0.211,0.282,0.362,0.644,0.332,0.085,0.288,11,0.151,3,4,0.313,0.5,0.699,0.792,0.385,0.609,0.152,0.325,0.786290323,0.2,0.385,0.415,0.118,0.446,0.136,0.354,0.39,0.256,5,0.318,0.786,0.068,0.425,0.4665
