,Season,Name,xBABIP,BABIP
1029,2021,Bobby Dalbec,0.317,0.316
63,2017,Anthony Rizzo,0.296,0.273
529,2017,J.T. Realmuto,0.294,0.318
1101,2015,A.J. Pierzynski,0.303,0.31
6,2017,Charlie Blackmon,0.323,0.371
864,2017,Ben Zobrist,0.271,0.251
592,2019,Javier Baez,0.335,0.345
108,2016,Jonathan Villar,0.334,0.373
1049,2017,Neil Walker,0.277,0.297
251,2016,Melky Cabrera,0.302,0.314
335,2016,Jacoby Ellsbury,0.313,0.295
414,2016,Jayson Werth,0.28,0.288
1221,2018,Martin Maldonado,0.278,0.28
1144,2015,Steven Souza Jr.,0.297,0.318
161,2015,Jose Bautista,0.258,0.237
415,2018,Miguel Andujar,0.295,0.316
1088,2016,Josh Reddick,0.294,0.306
37,2019,Rafael Devers,0.322,0.339
22,2017,Joey Votto,0.313,0.321
982,2017,Derek Dietrich,0.287,0.294
702,2018,Brandon Nimmo,0.317,0.351
662,2018,Mallex Smith,0.346,0.366
815,2019,Ryan Braun,0.325,0.325
1108,2016,Lorenzo Cain,0.326,0.341
523,2016,Yadier Molina,0.305,0.335
1168,2016,Cameron Rupp,0.294,0.315
310,2017,Eugenio Suarez,0.308,0.309
9,2021,Whit Merrifield,0.335,0.309
950,2019,Niko Goodrum,0.349,0.338
775,2019,Tim Anderson,0.344,0.399
777,2016,Danny Valencia,0.316,0.346
1092,2021,Anthony Santander,0.289,0.275
994,2015,Mark Teixeira,0.262,0.246
715,2018,Dansby Swanson,0.292,0.29
967,2017,Matt Kemp,0.322,0.318
211,2019,DJ LeMahieu,0.353,0.349
578,2016,Matt Carpenter,0.315,0.307
1075,2021,Rhys Hoskins,0.282,0.27
24,2016,Adam Eaton,0.339,0.329
1217,2018,Mike Zunino,0.265,0.268
471,2017,Daniel Murphy,0.321,0.341
634,2021,Mookie Betts,0.297,0.276
216,2018,Khris Davis,0.28,0.261
531,2016,Ender Inciarte,0.322,0.329
744,2015,Austin Jackson,0.344,0.342
793,2021,Jed Lowrie,0.295,0.289
112,2021,Paul Goldschmidt,0.326,0.331
460,2015,Michael Brantley,0.319,0.318
980,2018,Robbie Grossman,0.29,0.329
785,2017,Marwin Gonzalez,0.287,0.343
129,2016,Andrew McCutchen,0.288,0.297
556,2017,Yasiel Puig,0.282,0.274
397,2018,Max Kepler,0.259,0.236
1096,2016,Jedd Gyorko,0.279,0.244
146,2015,Evan Longoria,0.288,0.309
315,2015,Trevor Plouffe,0.284,0.274
314,2016,Rougned Odor,0.28,0.297
586,2015,Jimmy Rollins,0.264,0.246
448,2021,Eduardo Escobar,0.281,0.279
712,2015,Troy Tulowitzki,0.289,0.331
366,2019,Jean Segura,0.321,0.302
144,2018,Brian Anderson,0.31,0.332
346,2019,Lorenzo Cain,0.345,0.301
1000,2016,Billy Hamilton,0.313,0.329
464,2021,Teoscar Hernandez,0.335,0.352
77,2016,Corey Seager,0.342,0.355
317,2016,Ben Zobrist,0.303,0.29
1025,2018,Jonathan Lucroy,0.304,0.273
408,2019,Joey Votto,0.321,0.313
1099,2015,J.J. Hardy,0.263,0.257
518,2015,Josh Reddick,0.294,0.278
1152,2019,Andrelton Simmons,0.255,0.277
302,2016,Adrian Gonzalez,0.328,0.328
46,2018,Charlie Blackmon,0.322,0.329
691,2021,Miguel Rojas,0.311,0.295
834,2017,David Freese,0.324,0.336
1093,2015,Francisco Lindor,0.319,0.348
293,2017,Justin Upton,0.3,0.341
179,2021,Austin Riley,0.314,0.368
235,2018,Yoan Moncada,0.32,0.344
213,2015,Bryce Harper,0.308,0.369
497,2018,Jon Jay,0.347,0.319
1179,2016,Trevor Story,0.328,0.343
411,2018,Mike Trout,0.324,0.346
1158,2017,Tucker Barnhart,0.316,0.312
1201,2017,Jacoby Ellsbury,0.326,0.304
53,2015,Joey Votto,0.342,0.371
26,2018,Alex Bregman,0.287,0.289
396,2019,Yuli Gurriel,0.288,0.289
737,2021,Kyle Farmer,0.302,0.296
21,2018,Freddie Freeman,0.363,0.358
1208,2015,Michael Cuddyer,0.313,0.312
671,2018,Joe Mauer,0.357,0.33
395,2015,Matt Duffy,0.335,0.336
416,2018,Starling Marte,0.314,0.312
1050,2018,Nick Williams,0.327,0.312
122,2016,Joey Votto,0.348,0.366
956,2016,Giancarlo Stanton,0.273,0.29
901,2017,Kyle Schwarber,0.265,0.244
136,2015,A.J. Pollock,0.332,0.338
1202,2019,Rowdy Tellez,0.302,0.267
340,2015,Edwin Encarnacion,0.265,0.267
501,2017,Trey Mancini,0.315,0.352
892,2019,Wil Myers,0.311,0.344
1227,2019,Nicky Lopez,0.291,0.273
690,2017,Hunter Pence,0.291,0.301
49,2018,Bryce Harper,0.314,0.289
1192,2021,Jurickson Profar,0.298,0.266
688,2017,Josh Reddick,0.307,0.339
925,2017,Jedd Gyorko,0.285,0.312
898,2018,Ronald Acuna Jr.,0.312,0.352
215,2021,Juan Soto,0.326,0.332
197,2019,Josh Donaldson,0.312,0.292
511,2021,Nelson Cruz,0.3,0.286
493,2016,Gregory Polanco,0.311,0.291
857,2018,Aaron Judge,0.333,0.368
595,2019,Brandon Crawford,0.321,0.274
226,2015,Gregory Polanco,0.309,0.308
20,2018,Cesar Hernandez,0.298,0.315
583,2016,Ryan Braun,0.326,0.326
483,2019,Eddie Rosario,0.278,0.273
418,2018,Tim Anderson,0.312,0.289
616,2018,Jose Abreu,0.31,0.294
687,2017,Asdrubal Cabrera,0.29,0.31
307,2018,Brian Dozier,0.258,0.24
178,2015,Alcides Escobar,0.31,0.286
1172,2017,Austin Hedges,0.258,0.26
